hasPeak.An_kdmB_20h_HA_1	hasPeak.An_sntB_20h_HA_1	hasPeak.An_ecoA_20h_HA_1	hasPeak.An_rpdA_20h_HA_1	group	ID	Description	Count	GeneRatio	geneID
FALSE	FALSE	FALSE	TRUE	1	GO:0019953	sexual reproduction	31	31/1033	AN4783/AN4685/AN4639/AN8836/AN11032/AN8044/AN11063/AN4288/AN4238/AN4163/AN3648/AN3634/AN3583/AN7296/AN7570/AN7770/AN6221/AN6190/AN5824/AN1171/AN0999/AN0420/AN0081/AN1491/AN2426/AN3437/AN3095/AN2856/AN5686/AN5635/AN5619
FALSE	FALSE	FALSE	TRUE	1	GO:0019954	asexual reproduction	30	30/1033	AN4873/AN4819/AN4493/AN8862/AN8853/AN8836/AN11032/AN11063/AN4238/AN3735/AN7032/AN7697/AN6037/AN6510/AN1324/AN1171/AN1168/AN0636/AN0420/AN0081/AN1491/AN1560/AN1875/AN3470/AN3437/AN3168/AN3095/AN10635/AN5635/AN5529
FALSE	FALSE	FALSE	TRUE	1	GO:0022414	reproductive process	51	51/1033	AN5057/AN10621/AN4873/AN4819/AN4783/AN4685/AN4639/AN4493/AN4331/AN8862/AN8836/AN11032/AN8044/AN8244/AN11063/AN4288/AN4238/AN4163/AN3910/AN3806/AN3648/AN3634/AN3583/AN7296/AN7570/AN7770/AN6221/AN6190/AN10755/AN5824/AN5815/AN1399/AN1324/AN1171/AN0999/AN0420/AN0081/AN1491/AN1546/AN1560/AN1875/AN2426/AN3437/AN3154/AN3095/AN2856/AN5686/AN5635/AN5619/AN5529/AN5494
FALSE	FALSE	FALSE	TRUE	1	GO:0032505	reproduction of a single-celled organism	19	19/1033	AN10621/AN4685/AN4331/AN8862/AN8836/AN11032/AN4288/AN3735/AN3648/AN7570/AN7770/AN10755/AN1324/AN1171/AN1875/AN2856/AN5686/AN5635/AN5619
FALSE	FALSE	FALSE	TRUE	1	GO:0055114	oxidation-reduction process	58	58/1033	AN4975/AN4743/AN4688/AN12465/AN4380/AN8793/AN8770/AN8004/AN4288/AN4054/AN4023/AN3920/AN7267/AN10901/AN7554/AN7568/AN7629/AN6329/AN6101/AN5916/AN5842/AN6710/AN6717/AN9268/AN9375/AN9401/AN1132/AN1131/AN1059/AN1035/AN0423/AN0377/AN10060/AN0330/AN0174/AN10215/AN1598/AN1868/AN1897/AN1899/AN1921/AN1932/AN10283/AN2396/AN9214/AN9103/AN3466/AN3351/AN3253/AN3139/AN2867/AN10647/AN5162/AN5206/AN5665/AN5646/AN5644/AN5601
FALSE	FALSE	FALSE	TRUE	1	GO:0006807	nitrogen compound metabolic process	365	365/1033	AN5057/AN10621/AN11773/AN4993/AN4959/AN4936/AN4916/AN4892/AN4891/AN4874/AN4872/AN4830/AN4819/AN4783/AN12221/AN4743/AN4687/AN4652/AN4594/AN4585/AN4584/AN4530/AN4523/AN4522/AN4494/AN4493/AN4492/AN4489/AN10557/AN4457/AN4415/AN4380/AN4343/AN4331/AN10540/AN4317/AN4309/AN4308/AN8867/AN8853/AN8848/AN8847/AN8836/AN8827/AN8800/AN8799/AN8783/AN8770/AN8712/AN8705/AN7951/AN11032/AN8035/AN8042/AN8044/AN8061/AN8074/AN8191/AN8201/AN8203/AN8204/AN11060/AN8232/AN11072/AN4286/AN4244/AN4238/AN10526/AN4226/AN4202/AN4163/AN4087/AN4086/AN4060/AN4057/AN4054/AN10497/AN3955/AN3920/AN3910/AN3909/AN10489/AN3890/AN3863/AN3846/AN3824/AN3814/AN3806/AN3797/AN10444/AN3761/AN3745/AN3702/AN3683/AN3648/AN3634/AN3602/AN3593/AN3583/AN3546/AN7354/AN7325/AN7296/AN10901/AN7118/AN7051/AN7032/AN7029/AN7019/AN7424/AN7430/AN7439/AN7461/AN7479/AN10943/AN10944/AN7502/AN10957/AN7526/AN7554/AN7568/AN7608/AN7628/AN11003/AN7697/AN11004/AN11019/AN6396/AN6374/AN6346/AN6329/AN6310/AN6303/AN6302/AN6300/AN6251/AN6223/AN6221/AN6214/AN6202/AN6182/AN6171/AN6170/AN6147/AN6146/AN6110/AN11499/AN6037/AN5997/AN5979/AN9469/AN9468/AN5957/AN10755/AN5916/AN5865/AN5842/AN5824/AN5815/AN5814/AN6492/AN6496/AN6517/AN6536/AN6556/AN6561/AN6585/AN12011/AN6632/AN6639/AN6667/AN6675/AN6687/AN6705/AN6710/AN6711/AN6713/AN6715/AN6768/AN6832/AN10855/AN6895/AN6896/AN12491/AN9293/AN9362/AN9398/AN9399/AN9400/AN9402/AN1403/AN1400/AN10188/AN9465/AN1353/AN1345/AN1315/AN1263/AN1228/AN1191/AN1175/AN1172/AN1171/AN1168/AN1165/AN1158/AN1132/AN1092/AN1080/AN1059/AN1039/AN1035/AN1028/AN1019/AN0999/AN0984/AN0978/AN0974/AN0907/AN0879/AN0874/AN0872/AN0843/AN0776/AN0757/AN0714/AN0687/AN0661/AN0636/AN0585/AN10082/AN0490/AN0465/AN10079/AN0421/AN0354/AN0349/AN0321/AN0312/AN0305/AN0304/AN0297/AN0278/AN10032/AN0253/AN0252/AN0205/AN0174/AN0153/AN0106/AN0104/AN0081/AN10007/AN0040/AN8894/AN11145/AN8881/AN8878/AN8872/AN10206/AN1406/AN1434/AN1446/AN1467/AN1488/AN1491/AN1508/AN10215/AN1521/AN1522/AN1546/AN1560/AN1637/AN1638/AN1639/AN1683/AN11793/AN1867/AN1896/AN1897/AN1898/AN1899/AN2144/AN2163/AN2240/AN2246/AN10281/AN10280/AN2256/AN2278/AN2292/AN2296/AN2396/AN12120/AN2426/AN2446/AN12233/AN2450/AN2451/AN2464/AN2525/AN9157/AN9126/AN9125/AN9120/AN9116/AN9113/AN9094/AN11183/AN3470/AN3462/AN3455/AN10414/AN10416/AN10394/AN3356/AN3313/AN3173/AN3172/AN3167/AN3154/AN3132/AN3120/AN3108/AN3096/AN3095/AN2992/AN2973/AN2946/AN2905/AN2867/AN2856/AN2850/AN2829/AN10337/AN2759/AN2623/AN8491/AN8506/AN8545/AN10635/AN5162/AN5206/AN5222/AN5237/AN10719/AN10710/AN5722/AN5721/AN5701/AN10731/AN5662/AN10712/AN10701/AN5658/AN5644/AN5631/AN5619/AN5617/AN5601/AN5529/AN5520/AN5494/AN5408/AN5390
FALSE	FALSE	FALSE	TRUE	1	GO:0009056	catabolic process	75	75/1033	AN11773/AN4874/AN4783/AN12221/AN4691/AN4687/AN4585/AN4584/AN4530/AN4493/AN4492/AN4457/AN4317/AN8074/AN4238/AN10444/AN3602/AN10901/AN7029/AN7462/AN7554/AN7628/AN11004/AN7770/AN7847/AN6352/AN6351/AN6251/AN6182/AN6170/AN6037/AN5916/AN5842/AN6632/AN6639/AN9402/AN1263/AN1132/AN1092/AN1059/AN1019/AN0874/AN0452/AN10079/AN0423/AN10060/AN10206/AN1488/AN10215/AN1521/AN1522/AN1637/AN1638/AN1639/AN1896/AN1897/AN1898/AN1899/AN1973/AN10274/AN2240/AN2246/AN2280/AN12233/AN9113/AN3470/AN10394/AN2867/AN10337/AN5162/AN5721/AN5658/AN5646/AN5644/AN5635
FALSE	FALSE	FALSE	TRUE	1	GO:0009058	biosynthetic process	247	247/1033	AN10621/AN4992/AN4959/AN4939/AN4916/AN4891/AN4872/AN4830/AN4819/AN4783/AN12221/AN4743/AN4691/AN4652/AN4594/AN4585/AN4522/AN4494/AN4493/AN4489/AN10557/AN4414/AN4380/AN4343/AN4317/AN4308/AN4303/AN8867/AN8853/AN8848/AN8847/AN8836/AN8800/AN8770/AN8712/AN8705/AN7901/AN7951/AN8012/AN8035/AN8042/AN8191/AN8201/AN8203/AN8232/AN11072/AN4238/AN10526/AN4202/AN4163/AN4087/AN4086/AN4060/AN4054/AN10497/AN3920/AN3909/AN3863/AN3846/AN3824/AN3806/AN3761/AN3702/AN3683/AN3634/AN3593/AN7354/AN7325/AN7123/AN7118/AN7051/AN7032/AN7430/AN7439/AN7461/AN7479/AN7489/AN7502/AN10957/AN7554/AN7568/AN7608/AN7621/AN11003/AN7697/AN11004/AN11019/AN6396/AN6346/AN6303/AN6302/AN6300/AN6251/AN6223/AN6221/AN6214/AN6202/AN6182/AN6147/AN6146/AN11499/AN6037/AN5997/AN5979/AN9469/AN9468/AN5957/AN10755/AN5885/AN5862/AN5842/AN5824/AN6492/AN6496/AN6517/AN6536/AN6580/AN12011/AN6632/AN6667/AN6687/AN6705/AN6710/AN6711/AN6715/AN6832/AN10855/AN6896/AN9293/AN9399/AN9402/AN9403/AN1403/AN10188/AN9465/AN1353/AN1345/AN1263/AN1228/AN1191/AN1165/AN1158/AN1132/AN1080/AN1039/AN1035/AN1028/AN1019/AN0999/AN0978/AN0974/AN0907/AN0879/AN0872/AN0843/AN0776/AN0687/AN0661/AN0636/AN0585/AN0490/AN0465/AN0354/AN10060/AN0321/AN0312/AN0304/AN0297/AN0278/AN10032/AN0253/AN0252/AN0205/AN0106/AN0104/AN0081/AN0040/AN8894/AN8881/AN8878/AN8872/AN1406/AN1446/AN1488/AN1491/AN10215/AN1521/AN1546/AN1560/AN1637/AN1639/AN1683/AN11793/AN1896/AN1897/AN1898/AN1899/AN2163/AN2240/AN2246/AN10280/AN2261/AN2278/AN2296/AN12120/AN2426/AN2446/AN2464/AN9157/AN9125/AN9120/AN9116/AN9113/AN9094/AN11183/AN3470/AN3462/AN10414/AN10416/AN3356/AN3173/AN3172/AN3154/AN3120/AN3108/AN2992/AN2973/AN2905/AN2867/AN2850/AN2829/AN2623/AN8506/AN8507/AN10635/AN5162/AN5206/AN5222/AN10710/AN5701/AN5662/AN10701/AN5644/AN5616/AN5601/AN5494/AN5390
FALSE	FALSE	FALSE	TRUE	1	GO:0009892	negative regulation of metabolic process	51	51/1033	AN10621/AN11773/AN4891/AN4783/AN4585/AN4530/AN4493/AN8836/AN8042/AN10526/AN10489/AN3602/AN7461/AN7554/AN7628/AN6223/AN6221/AN6214/AN6147/AN6492/AN6632/AN6687/AN9399/AN1400/AN1191/AN1158/AN1132/AN1039/AN1019/AN0974/AN0874/AN0872/AN0297/AN0253/AN0106/AN1488/AN1491/AN1521/AN1546/AN1639/AN2246/AN10280/AN2426/AN9120/AN9116/AN9113/AN2973/AN2856/AN10635/AN10701/AN5494
FALSE	FALSE	FALSE	TRUE	1	GO:0009893	positive regulation of metabolic process	32	32/1033	AN4936/AN4891/AN4819/AN4493/AN4317/AN8847/AN8770/AN8042/AN4238/AN10526/AN4163/AN3806/AN3648/AN7554/AN7697/AN6223/AN5814/AN6632/AN1345/AN1039/AN0349/AN0106/AN0081/AN1521/AN1546/AN1560/AN11793/AN2246/AN10280/AN2296/AN3154/AN5722
