group	n
G1: LFC >= 2	80
G2: 1 <= LFC < 2	117
G3: 0.5 <= LFC < 1	122
G4: 0 <= LFC < 0.5	140
G5: -0.5 < LFC < 0	159
G6: -1 < LFC <= -0.5	133
G7: -2 < LFC <= -1	215
G8: -2 >= LFC	74
