hasPeak.An_rpdA_20h_HA_1	hasPeak.An_rpdA_48h_HA_1	group	ID	Description	Count	GeneRatio	geneID
FALSE	TRUE	2	GO:0019222	regulation of metabolic process	108	108/1033	AN5052/AN4972/AN4953/AN4933/AN4932/AN10606/AN4837/AN4719/AN4536/AN4465/AN4407/AN8796/AN8751/AN8724/AN8671/AN8111/AN8164/AN8182/AN8257/AN4166/AN3913/AN3868/AN3812/AN3769/AN3768/AN3669/AN3628/AN3619/AN3598/AN7346/AN7104/AN7072/AN7487/AN7695/AN7746/AN7748/AN7819/AN7820/AN6305/AN6293/AN6218/AN10789/AN10788/AN5808/AN10832/AN12122/AN6747/AN6749/AN6820/AN6889/AN11250/AN1255/AN1237/AN1205/AN1179/AN1170/AN1016/AN0910/AN0835/AN0770/AN0748/AN0658/AN10105/AN0576/AN0568/AN10083/AN0388/AN0327/AN0256/AN0197/AN0191/AN0167/AN0156/AN8902/AN10192/AN1485/AN1545/AN1929/AN1937/AN2020/AN2025/AN2180/AN2213/AN2214/AN2363/AN2426/AN2481/AN9221/AN9096/AN3449/AN3435/AN3420/AN2901/AN2877/AN2854/AN9458/AN10336/AN2751/AN8298/AN8345/AN8426/AN8473/AN10638/AN5786/AN5691/AN5569/AN5342/AN5299
FALSE	TRUE	2	GO:0019748	secondary metabolic process	29	29/1033	AN4948/AN4933/AN7911/AN7998/AN12402/AN8106/AN8199/AN7084/AN7072/AN7811/AN7818/AN7819/AN7820/AN7821/AN6446/AN6305/AN6749/AN1242/AN0256/AN0147/AN9005/AN1680/AN11188/AN3435/AN2924/AN2622/AN2621/AN8518/AN5324
FALSE	TRUE	2	GO:0032259	methylation	7	7/1033	AN6162/AN9406/AN1255/AN1170/AN0685/AN2426/AN12437
FALSE	TRUE	2	GO:0042440	pigment metabolic process	3	3/1033	AN3624/AN5905/AN1937
FALSE	TRUE	2	GO:0044237	cellular metabolic process	337	337/1033	AN5052/AN4972/AN4953/AN4949/AN4948/AN4933/AN4932/AN4901/AN4894/AN10606/AN4837/AN9446/AN4809/AN10584/AN4719/AN4687/AN4601/AN4594/AN4587/AN4555/AN4536/AN4520/AN4519/AN4505/AN4465/AN4457/AN4407/AN4372/AN8857/AN8796/AN8751/AN8748/AN8724/AN8709/AN8702/AN11102/AN8671/AN7890/AN7911/AN7997/AN7998/AN12402/AN9467/AN8007/AN8046/AN8053/AN8106/AN8111/AN8138/AN8149/AN8164/AN8182/AN8199/AN8216/AN11054/AN8257/AN8293/AN4251/AN4174/AN4166/AN4082/AN4058/AN4055/AN4013/AN3916/AN3913/AN3897/AN3868/AN3867/AN3866/AN3837/AN3812/AN3769/AN3768/AN3741/AN3669/AN11721/AN3628/AN3619/AN3613/AN3598/AN3531/AN7385/AN10937/AN7349/AN7346/AN10925/AN12151/AN7180/AN7152/AN10903/AN7115/AN7104/AN7084/AN7072/AN7000/AN7487/AN10950/AN7590/AN7604/AN7666/AN7678/AN7695/AN7745/AN7746/AN7748/AN11015/AN7818/AN7819/AN7820/AN10819/AN6438/AN6354/AN6305/AN6297/AN6293/AN6218/AN10780/AN10789/AN10788/AN6192/AN6181/AN6162/AN12045/AN6069/AN5919/AN5917/AN5905/AN5902/AN5901/AN5884/AN5883/AN5833/AN5812/AN5808/AN6507/AN12121/AN10832/AN12122/AN6572/AN6573/AN6576/AN6681/AN6682/AN6698/AN6726/AN6746/AN6747/AN6749/AN6820/AN6866/AN6880/AN6889/AN11250/AN6913/AN10864/AN10865/AN6968/AN9276/AN9389/AN9390/AN9406/AN12429/AN1292/AN1255/AN1242/AN1237/AN1207/AN1205/AN1179/AN1170/AN1138/AN1137/AN1136/AN1135/AN1123/AN1115/AN1084/AN1063/AN1050/AN10139/AN1016/AN0942/AN0910/AN0909/AN0835/AN0824/AN0816/AN0770/AN0752/AN0748/AN0708/AN0685/AN0658/AN0649/AN10105/AN0581/AN0579/AN0576/AN0568/AN0567/AN10083/AN0484/AN0472/AN0432/AN0395/AN0388/AN0385/AN0327/AN0257/AN0256/AN0197/AN0192/AN0191/AN0189/AN0167/AN0156/AN0147/AN0144/AN0116/AN0104/AN0070/AN8977/AN8902/AN11146/AN1409/AN10192/AN1485/AN1486/AN1502/AN10213/AN1542/AN1545/AN1554/AN1571/AN1619/AN1671/AN1673/AN1680/AN1708/AN1733/AN1743/AN1798/AN1809/AN1810/AN1811/AN1850/AN1883/AN1929/AN1937/AN1965/AN1992/AN2020/AN2025/AN2047/AN2048/AN2116/AN12489/AN2133/AN2155/AN2212/AN2213/AN2214/AN2272/AN2326/AN2359/AN2363/AN2373/AN2426/AN2450/AN2481/AN2497/AN2528/AN11962/AN9221/AN11188/AN9117/AN9106/AN9096/AN3459/AN3449/AN3448/AN3435/AN3420/AN3402/AN3290/AN3204/AN3201/AN3111/AN3110/AN2988/AN2947/AN10362/AN10349/AN2901/AN2877/AN11684/AN2860/AN2854/AN9458/AN2814/AN10336/AN2752/AN2751/AN2747/AN2622/AN2621/AN8298/AN8345/AN8396/AN8426/AN8473/AN12256/AN5105/AN5124/AN10638/AN5178/AN5192/AN5235/AN10649/AN5793/AN5790/AN5786/AN5785/AN5779/AN5691/AN12437/AN5593/AN5571/AN5569/AN5495/AN10673/AN5342/AN5340/AN5324/AN5309/AN5299
FALSE	TRUE	2	GO:0044238	primary metabolic process	349	349/1033	AN5052/AN4972/AN4953/AN4949/AN4933/AN4932/AN4901/AN4894/AN10606/AN4837/AN4825/AN9446/AN4809/AN4719/AN4687/AN4601/AN4594/AN4587/AN4555/AN4536/AN4520/AN4519/AN4505/AN4465/AN4457/AN4407/AN4404/AN4372/AN8857/AN8796/AN8751/AN8748/AN8743/AN8724/AN8709/AN8702/AN11102/AN8671/AN7864/AN7865/AN7890/AN7962/AN7995/AN7997/AN12402/AN9467/AN8007/AN8046/AN8053/AN8111/AN8138/AN8149/AN8164/AN8182/AN8216/AN11054/AN8293/AN4251/AN10522/AN4166/AN4082/AN4058/AN4055/AN4018/AN4013/AN10502/AN3916/AN3913/AN10482/AN3903/AN3897/AN3868/AN3867/AN3866/AN3837/AN3812/AN3769/AN3768/AN3741/AN3733/AN3669/AN11721/AN3628/AN3619/AN3613/AN3598/AN3531/AN7385/AN10937/AN7349/AN7346/AN10929/AN10925/AN7275/AN10919/AN7201/AN12151/AN7180/AN7152/AN10903/AN10900/AN7121/AN7115/AN7104/AN10887/AN7072/AN7000/AN7487/AN7590/AN7604/AN7666/AN7678/AN7695/AN7745/AN7746/AN7748/AN7820/AN10819/AN6438/AN6382/AN6354/AN6305/AN6293/AN6218/AN10780/AN10789/AN10788/AN6192/AN6181/AN6162/AN12045/AN6069/AN5919/AN5917/AN5905/AN5902/AN5901/AN5884/AN5883/AN5833/AN5812/AN5808/AN6507/AN12121/AN10832/AN12122/AN6572/AN6576/AN6681/AN6682/AN6698/AN6726/AN6747/AN6751/AN6786/AN6820/AN6866/AN6888/AN6889/AN11250/AN6913/AN10865/AN6968/AN9276/AN9390/AN9406/AN10184/AN12429/AN1332/AN1320/AN1292/AN1255/AN1237/AN1207/AN1205/AN1197/AN1179/AN1170/AN1137/AN1136/AN1135/AN1123/AN1115/AN1084/AN1050/AN10139/AN1016/AN0942/AN0910/AN0909/AN0851/AN0835/AN0824/AN0816/AN0770/AN0752/AN0748/AN0708/AN0685/AN0658/AN0649/AN10105/AN0579/AN0576/AN0568/AN0567/AN10083/AN0484/AN0472/AN0432/AN0388/AN0385/AN0338/AN0327/AN0257/AN0256/AN0245/AN0197/AN0192/AN0191/AN0189/AN0167/AN0156/AN0144/AN0116/AN0104/AN0070/AN8977/AN8902/AN8891/AN11146/AN1409/AN10192/AN1485/AN1486/AN1502/AN10213/AN1542/AN1545/AN1554/AN1571/AN1619/AN1671/AN1673/AN1680/AN1708/AN1733/AN1742/AN1743/AN1772/AN1792/AN1798/AN1804/AN1809/AN1810/AN1811/AN1850/AN1852/AN1870/AN1883/AN1929/AN1937/AN1965/AN1992/AN2020/AN2025/AN2047/AN2048/AN12489/AN2133/AN2155/AN2180/AN2194/AN2212/AN2213/AN2214/AN2272/AN2325/AN2326/AN2334/AN2359/AN2363/AN2373/AN2426/AN2450/AN2481/AN2497/AN2528/AN11962/AN9221/AN9117/AN9114/AN9106/AN9096/AN3449/AN3448/AN3435/AN3420/AN3402/AN3393/AN3290/AN3201/AN3111/AN3110/AN3013/AN2947/AN10362/AN10349/AN2901/AN2877/AN11684/AN2854/AN2828/AN9458/AN10336/AN2752/AN2751/AN2747/AN2664/AN8298/AN8345/AN8426/AN8445/AN8473/AN12256/AN5105/AN5124/AN10638/AN5178/AN5192/AN5235/AN10649/AN5793/AN5790/AN5786/AN5785/AN5779/AN5691/AN12437/AN5593/AN5571/AN5569/AN5495/AN10673/AN5402/AN5342/AN5340/AN5309/AN5299
FALSE	TRUE	2	GO:0044281	small molecule metabolic process	101	101/1033	AN4901/AN9446/AN4809/AN4687/AN4536/AN4465/AN4372/AN8709/AN7890/AN7995/AN7998/AN12402/AN8007/AN8106/AN8138/AN8216/AN4174/AN4058/AN4055/AN3916/AN3913/AN3897/AN3866/AN3741/AN3733/AN3613/AN3598/AN3531/AN7152/AN10903/AN7115/AN7084/AN7000/AN10950/AN7590/AN7666/AN7695/AN11015/AN7820/AN6293/AN5884/AN5883/AN5833/AN5812/AN6572/AN6573/AN6576/AN6866/AN6880/AN6889/AN1179/AN1138/AN1137/AN1136/AN1135/AN1115/AN1050/AN1016/AN0942/AN0824/AN0708/AN0649/AN0567/AN0484/AN0432/AN0388/AN0385/AN0257/AN0256/AN0156/AN0147/AN0070/AN8977/AN11146/AN1409/AN1571/AN1619/AN1673/AN1733/AN1743/AN1809/AN1810/AN1883/AN1965/AN2133/AN2272/AN2359/AN11188/AN9114/AN3435/AN2901/AN2860/AN2814/AN2622/AN2621/AN8396/AN12256/AN5178/AN5192/AN5790/AN5571
FALSE	TRUE	2	GO:0070085	glycosylation	6	6/1033	AN4601/AN8138/AN5902/AN0104/AN2752/AN5105
FALSE	TRUE	2	GO:0071704	organic substance metabolic process	380	380/1033	AN5052/AN4978/AN4972/AN4953/AN4949/AN4933/AN4932/AN4901/AN4894/AN10606/AN4837/AN4825/AN9446/AN4809/AN4719/AN4687/AN4601/AN4594/AN4587/AN4555/AN4536/AN4520/AN4519/AN4505/AN4465/AN4457/AN4407/AN4404/AN4372/AN8857/AN8796/AN8751/AN8748/AN8743/AN8724/AN8709/AN8702/AN11102/AN8671/AN7864/AN7865/AN7890/AN7911/AN7962/AN7995/AN7997/AN7998/AN12402/AN9467/AN8007/AN8046/AN8053/AN8106/AN8111/AN8138/AN8149/AN8164/AN8182/AN8199/AN8216/AN11054/AN8293/AN4251/AN10522/AN4174/AN4166/AN4082/AN4058/AN4055/AN4018/AN4013/AN10502/AN3916/AN3913/AN10482/AN3903/AN3897/AN3868/AN3867/AN3866/AN3837/AN3812/AN3769/AN3768/AN3741/AN3733/AN3669/AN11721/AN3628/AN3619/AN3613/AN3598/AN3531/AN7385/AN10937/AN7349/AN7346/AN10929/AN10925/AN7275/AN10919/AN7201/AN12151/AN7180/AN7152/AN10903/AN10900/AN7121/AN7115/AN7104/AN7084/AN10887/AN7072/AN7000/AN7487/AN10950/AN7590/AN7604/AN7641/AN7666/AN7678/AN7695/AN7745/AN7746/AN7748/AN11015/AN7818/AN7819/AN7820/AN10819/AN6438/AN6382/AN6354/AN6305/AN6293/AN6218/AN10780/AN10789/AN10788/AN6192/AN6181/AN6162/AN12045/AN6069/AN5919/AN5917/AN5905/AN5902/AN5901/AN5884/AN5883/AN5833/AN5812/AN5808/AN6507/AN12121/AN10832/AN12122/AN6572/AN6573/AN6576/AN6681/AN6682/AN6698/AN6726/AN6747/AN6749/AN6751/AN6786/AN6820/AN6866/AN6880/AN6888/AN6889/AN11250/AN6913/AN10865/AN6968/AN9276/AN9389/AN9390/AN9406/AN10184/AN12429/AN1332/AN1320/AN1292/AN1255/AN1242/AN1237/AN1207/AN1205/AN1197/AN1179/AN1170/AN1138/AN1137/AN1136/AN1135/AN1123/AN1115/AN1084/AN1050/AN10139/AN1016/AN0942/AN0910/AN0909/AN0851/AN0835/AN0824/AN0816/AN0770/AN0752/AN0748/AN0708/AN0685/AN0658/AN0649/AN10105/AN0581/AN0579/AN0576/AN0568/AN0567/AN10083/AN0484/AN0472/AN0432/AN0388/AN0385/AN0338/AN0327/AN0257/AN0256/AN0245/AN0197/AN0192/AN0191/AN0189/AN0167/AN0156/AN0147/AN0144/AN0116/AN0104/AN0070/AN8977/AN8902/AN8891/AN11146/AN1409/AN10192/AN1485/AN1486/AN1502/AN10213/AN1542/AN1545/AN1554/AN1571/AN1619/AN1671/AN1673/AN1680/AN1708/AN1733/AN1742/AN1743/AN1772/AN1792/AN1798/AN1804/AN1809/AN1810/AN1811/AN1850/AN1852/AN1870/AN1883/AN1929/AN1937/AN1965/AN1992/AN2020/AN2025/AN2047/AN2048/AN12489/AN2133/AN2155/AN2180/AN2194/AN2212/AN2213/AN2214/AN2272/AN2325/AN2326/AN2334/AN2359/AN2363/AN2373/AN2426/AN2450/AN2481/AN2497/AN2528/AN11962/AN9221/AN11188/AN9117/AN9114/AN9106/AN9096/AN3459/AN3449/AN3448/AN3435/AN3420/AN3402/AN3393/AN3290/AN3204/AN3201/AN3111/AN3110/AN3013/AN2988/AN2947/AN10362/AN10349/AN2901/AN2877/AN11684/AN2860/AN2854/AN2828/AN9458/AN2814/AN10336/AN2752/AN2751/AN2747/AN2664/AN2622/AN2621/AN8298/AN8345/AN8396/AN8426/AN8445/AN8473/AN12256/AN5105/AN5124/AN10638/AN5178/AN5192/AN5235/AN10649/AN5793/AN5790/AN5786/AN5785/AN5779/AN5691/AN5690/AN12437/AN5593/AN5571/AN5569/AN5495/AN10673/AN5402/AN5342/AN5340/AN5324/AN5309/AN5299
FALSE	TRUE	2	GO:0031640	killing of cells of other organism	1	1/1033	AN10184
