hasPeak.An_rpdA_20h_HA_1	hasPeak.An_rpdA_48h_HA_1	group	ID	Description	Count	GeneRatio	geneID
TRUE	FALSE	3	GO:0016458	gene silencing	12	12/911	AN8042/AN11067/AN7461/AN6214/AN6677/AN6687/AN1191/AN1859/AN9120/AN2973/AN2856/AN5758
TRUE	FALSE	3	GO:0019725	cellular homeostasis	17	17/911	AN8080/AN11072/AN4238/AN4215/AN7459/AN7571/AN7801/AN6053/AN6580/AN1795/AN1832/AN9146/AN9103/AN8346/AN8374/AN5606/AN5529
TRUE	FALSE	3	GO:0022402	cell cycle process	47	47/911	AN4887/AN4867/AN4804/AN4775/AN4615/AN4564/AN4530/AN4513/AN8836/AN8013/AN11055/AN3910/AN9463/AN3806/AN3749/AN3648/AN7077/AN6978/AN7707/AN7770/AN6359/AN6617/AN6711/AN6728/AN6896/AN1267/AN1019/AN10087/AN0126/AN0055/AN10206/AN1967/AN2101/AN2317/AN2412/AN3437/AN3387/AN3169/AN3156/AN3154/AN3118/AN2856/AN2768/AN2687/AN5195/AN10701/AN5482
TRUE	FALSE	3	GO:0022406	membrane docking	2	2/911	AN0821/AN3144
TRUE	FALSE	3	GO:0030029	actin filament-based process	8	8/911	AN9463/AN7683/AN7707/AN12237/AN2317/AN2756/AN2687/AN5529
TRUE	FALSE	3	GO:0032940	secretion by cell	4	4/911	AN8233/AN7683/AN2050/AN3144
TRUE	FALSE	3	GO:0036166	phenotypic switching	3	3/911	AN3806/AN7461/AN6214
TRUE	FALSE	3	GO:0044764	multi-organism cellular process	9	9/911	AN4639/AN4486/AN8044/AN12206/AN4238/AN4052/AN2555/AN3437/AN5211
TRUE	FALSE	3	GO:0048522	positive regulation of cellular process	38	38/911	AN4819/AN4775/AN4639/AN4513/AN4486/AN4317/AN8013/AN8042/AN8044/AN12206/AN8285/AN4238/AN4118/AN9463/AN3806/AN3648/AN7077/AN6988/AN7554/AN7697/AN5996/AN6549/AN6594/AN6927/AN1303/AN10087/AN12237/AN10190/AN1612/AN1967/AN2317/AN2555/AN9065/AN3154/AN8374/AN5211/AN5529/AN10682
TRUE	FALSE	3	GO:0048523	negative regulation of cellular process	40	40/911	AN4530/AN4513/AN4486/AN8836/AN8042/AN12206/AN11067/AN4238/AN9463/AN3806/AN3648/AN6978/AN7461/AN7554/AN7683/AN6214/AN6492/AN6617/AN6677/AN6687/AN6896/AN1191/AN1158/AN1019/AN0953/AN12237/AN1488/AN1832/AN1859/AN1967/AN2555/AN9120/AN3387/AN3156/AN3118/AN2973/AN2856/AN5758/AN10701/AN5482
TRUE	FALSE	3	GO:0048869	cellular developmental process	36	36/911	AN4887/AN4867/AN4819/AN4615/AN4595/AN4564/AN4331/AN8853/AN8836/AN11055/AN8273/AN4238/AN3749/AN3648/AN7459/AN7683/AN7697/AN7707/AN7770/AN6717/AN6898/AN1311/AN1267/AN0055/AN8874/AN1612/AN1967/AN2306/AN2412/AN3437/AN3387/AN2856/AN2687/AN8374/AN5195/AN5529
TRUE	FALSE	3	GO:0050794	regulation of cellular process	118	118/911	AN4939/AN4887/AN4867/AN4819/AN4775/AN4639/AN4595/AN4585/AN4564/AN4530/AN4513/AN4489/AN4486/AN4377/AN4343/AN4317/AN8836/AN7942/AN8013/AN8042/AN8044/AN8080/AN8125/AN8232/AN8233/AN12206/AN11067/AN8285/AN4238/AN4215/AN4160/AN4134/AN4118/AN4113/AN4035/AN3986/AN3863/AN9463/AN3806/AN10436/AN3648/AN7189/AN7077/AN7051/AN6988/AN6978/AN7459/AN7461/AN10957/AN7554/AN7683/AN7697/AN6359/AN6214/AN5996/AN5806/AN6492/AN6549/AN6594/AN6617/AN6667/AN6677/AN6687/AN6705/AN6728/AN6832/AN6837/AN6846/AN6896/AN6927/AN1303/AN1191/AN1158/AN1019/AN0953/AN10087/AN0055/AN12237/AN10206/AN10190/AN1488/AN1612/AN1824/AN1832/AN1859/AN1927/AN1967/AN2136/AN2317/AN10294/AN2555/AN11185/AN9120/AN9103/AN9065/AN3437/AN3387/AN3156/AN3154/AN3129/AN3118/AN11704/AN2973/AN2856/AN2687/AN2667/AN8346/AN8374/AN8535/AN5195/AN5211/AN5220/AN5758/AN10701/AN5529/AN10682/AN5482/AN5390
TRUE	FALSE	3	GO:0051301	cell division	9	9/911	AN4564/AN9463/AN7077/AN7707/AN6711/AN2317/AN3169/AN2687/AN5195
TRUE	FALSE	3	GO:0051651	maintenance of location in cell	2	2/911	AN6898/AN5529
TRUE	FALSE	3	GO:0051716	cellular response to stimulus	106	106/911	AN4912/AN4887/AN4774/AN4770/AN4747/AN4736/AN4731/AN4647/AN4639/AN4615/AN4614/AN4530/AN4380/AN4331/AN4317/AN4309/AN8836/AN8042/AN8044/AN8080/AN8122/AN8201/AN11055/AN12206/AN8273/AN8283/AN4238/AN4215/AN4134/AN10507/AN4113/AN3890/AN9463/AN3806/AN3797/AN3749/AN3648/AN7208/AN7189/AN10880/AN10878/AN6988/AN6978/AN7484/AN7554/AN7697/AN7708/AN7766/AN6303/AN6246/AN6214/AN6170/AN6089/AN10767/AN5908/AN6496/AN6678/AN6687/AN6705/AN6728/AN6886/AN6895/AN6896/AN6927/AN1191/AN1061/AN0953/AN0776/AN0469/AN10087/AN0158/AN0126/AN1488/AN1503/AN1612/AN1795/AN1859/AN1901/AN10296/AN2412/AN2470/AN2530/AN2555/AN9126/AN9103/AN10415/AN3307/AN3168/AN3156/AN3144/AN3129/AN3118/AN2973/AN2856/AN2687/AN8346/AN5193/AN5195/AN5211/AN5774/AN5751/AN10701/AN5617/AN5602/AN5529/AN5482
TRUE	FALSE	3	GO:0061919	process utilizing autophagic mechanism	4	4/911	AN11055/AN7462/AN8874/AN10190
TRUE	FALSE	3	GO:0071554	cell wall organization or biogenesis	13	13/911	AN4615/AN4052/AN7683/AN7697/AN10779/AN6093/AN5818/AN6711/AN6927/AN1158/AN2412/AN10701/AN5529
TRUE	FALSE	3	GO:0140029	exocytic process	1	1/911	AN3144
TRUE	FALSE	3	GO:1990748	cellular detoxification	4	4/911	AN4215/AN1795/AN2470/AN8346
TRUE	FALSE	3	GO:0000742	karyogamy involved in conjugation with cellular fusion	1	1/911	AN3437
TRUE	FALSE	3	GO:0003006	developmental process involved in reproduction	24	24/911	AN4887/AN4819/AN4615/AN4486/AN4331/AN8836/AN11055/AN4238/AN3813/AN3749/AN3648/AN7770/AN6046/AN1267/AN0055/AN1967/AN2412/AN3437/AN3387/AN2856/AN2667/AN8547/AN5195/AN5529
TRUE	FALSE	3	GO:0007534	gene conversion at mating-type locus	2	2/911	AN4331/AN3749
TRUE	FALSE	3	GO:0022413	reproductive process in single-celled organism	12	12/911	AN4887/AN4615/AN4331/AN8836/AN11055/AN3749/AN3648/AN7770/AN1267/AN2412/AN2856/AN5195
TRUE	FALSE	3	GO:0044703	multi-organism reproductive process	23	23/911	AN4887/AN4639/AN4615/AN8836/AN8044/AN11055/AN12206/AN4238/AN4052/AN3813/AN3648/AN7770/AN6046/AN1267/AN0055/AN1967/AN2412/AN2555/AN3437/AN3387/AN2856/AN5195/AN5211
TRUE	FALSE	3	GO:0051321	meiotic cell cycle	21	21/911	AN4887/AN4615/AN8836/AN11055/AN3910/AN3806/AN3749/AN3648/AN7770/AN6728/AN1267/AN0126/AN0055/AN1967/AN2412/AN3437/AN3387/AN3154/AN3118/AN2856/AN5195
TRUE	FALSE	3	GO:0061500	gene conversion at mating-type locus, termination of copy-synthesis	1	1/911	AN3749
TRUE	FALSE	3	GO:0070871	cell wall organization involved in conjugation with cellular fusion	1	1/911	AN4052
TRUE	FALSE	3	GO:0090220	chromosome localization to nuclear envelope involved in homologous chromosome segregation	1	1/911	AN3910
TRUE	FALSE	3	GO:1903046	meiotic cell cycle process	20	20/911	AN4887/AN4615/AN8836/AN11055/AN3910/AN3806/AN3749/AN3648/AN7770/AN6728/AN1267/AN0126/AN0055/AN1967/AN2412/AN3437/AN3387/AN3118/AN2856/AN5195
TRUE	FALSE	3	GO:2000241	regulation of reproductive process	14	14/911	AN4639/AN8044/AN12206/AN4238/AN3806/AN3648/AN6728/AN1967/AN2555/AN3437/AN3387/AN3154/AN3118/AN5211
TRUE	FALSE	3	GO:2000242	negative regulation of reproductive process	6	6/911	AN4238/AN3806/AN3648/AN1967/AN2555/AN3387
TRUE	FALSE	3	GO:2000243	positive regulation of reproductive process	5	5/911	AN4639/AN8044/AN12206/AN2555/AN5211
TRUE	FALSE	3	GO:0007155	cell adhesion	2	2/911	AN4486/AN4052
TRUE	FALSE	3	GO:0044406	adhesion of symbiont to host	2	2/911	AN4052/AN1832
TRUE	FALSE	3	GO:0023051	regulation of signaling	10	10/911	AN4317/AN12206/AN4238/AN9463/AN3806/AN7554/AN7697/AN6927/AN0953/AN2555
TRUE	FALSE	3	GO:0023056	positive regulation of signaling	4	4/911	AN4317/AN3806/AN7697/AN6927
TRUE	FALSE	3	GO:0023057	negative regulation of signaling	5	5/911	AN12206/AN4238/AN7554/AN0953/AN2555
TRUE	FALSE	3	GO:0007275	multicellular organism development	12	12/911	AN4887/AN4819/AN4486/AN8836/AN4238/AN3813/AN6046/AN2412/AN2856/AN2667/AN8547/AN5529
TRUE	FALSE	3	GO:0009653	anatomical structure morphogenesis	24	24/911	AN4887/AN4867/AN4615/AN4595/AN4564/AN8853/AN8836/AN11055/AN4238/AN3648/AN7683/AN7770/AN6898/AN1267/AN0055/AN1967/AN2412/AN3437/AN3387/AN2856/AN2687/AN8374/AN5195/AN5529
TRUE	FALSE	3	GO:0007568	aging	5	5/911	AN4238/AN7459/AN6717/AN8874/AN1612
TRUE	FALSE	3	GO:0007571	age-dependent general metabolic decline	1	1/911	AN4238
TRUE	FALSE	3	GO:0009847	spore germination	5	5/911	AN4238/AN3813/AN6046/AN3307/AN2756
TRUE	FALSE	3	GO:0048646	anatomical structure formation involved in morphogenesis	19	19/911	AN4887/AN4615/AN8853/AN8836/AN11055/AN4238/AN3648/AN7683/AN7770/AN6898/AN1267/AN0055/AN1967/AN2412/AN3437/AN3387/AN2856/AN2687/AN5195
TRUE	FALSE	3	GO:0043934	sporulation	29	29/911	AN4887/AN4819/AN4615/AN8853/AN8836/AN11055/AN8273/AN4238/AN3648/AN7683/AN7697/AN7707/AN7770/AN6046/AN6898/AN1311/AN1267/AN0055/AN1967/AN2306/AN2412/AN3437/AN3387/AN3168/AN3129/AN2856/AN2687/AN5195/AN5529
TRUE	FALSE	3	GO:0044111	development involved in symbiotic interaction	3	3/911	AN4755/AN8836/AN4238
TRUE	FALSE	3	GO:0048856	anatomical structure development	35	35/911	AN4887/AN4867/AN4819/AN4615/AN4595/AN4564/AN4486/AN8853/AN8836/AN11055/AN8273/AN4238/AN3813/AN3648/AN7683/AN7697/AN7707/AN7770/AN6046/AN6898/AN1311/AN1267/AN0055/AN1967/AN2306/AN2412/AN3437/AN3387/AN2856/AN2687/AN2667/AN8374/AN8547/AN5195/AN5529
TRUE	FALSE	3	GO:0050793	regulation of developmental process	14	14/911	AN4867/AN4819/AN4595/AN4564/AN3648/AN7697/AN0055/AN1612/AN1967/AN3437/AN3387/AN2687/AN8374/AN5529
TRUE	FALSE	3	GO:0051093	negative regulation of developmental process	3	3/911	AN3648/AN1967/AN3387
TRUE	FALSE	3	GO:0051094	positive regulation of developmental process	4	4/911	AN4819/AN1612/AN1967/AN8374
TRUE	FALSE	3	GO:0043474	pigment metabolic process involved in pigmentation	1	1/911	AN0231
TRUE	FALSE	3	GO:0048066	developmental pigmentation	1	1/911	AN0231
TRUE	FALSE	3	GO:0007623	circadian rhythm	1	1/911	AN2412
TRUE	FALSE	3	GO:0043902	positive regulation of multi-organism process	6	6/911	AN4639/AN4486/AN8044/AN12206/AN2555/AN5211
TRUE	FALSE	3	GO:0044089	positive regulation of cellular component biogenesis	5	5/911	AN9463/AN7077/AN6988/AN12237/AN2317
TRUE	FALSE	3	GO:0045785	positive regulation of cell adhesion	1	1/911	AN4486
TRUE	FALSE	3	GO:0048584	positive regulation of response to stimulus	8	8/911	AN4317/AN8836/AN4238/AN3806/AN3648/AN7697/AN6927/AN1832
TRUE	FALSE	3	GO:0051050	positive regulation of transport	2	2/911	AN8836/AN6978
TRUE	FALSE	3	GO:0051091	positive regulation of DNA-binding transcription factor activity	1	1/911	AN6988
TRUE	FALSE	3	GO:1903666	positive regulation of asexual reproduction	2	2/911	AN4819/AN1967
TRUE	FALSE	3	GO:1903829	positive regulation of cellular protein localization	3	3/911	AN8836/AN3648/AN6978
TRUE	FALSE	3	GO:1904951	positive regulation of establishment of protein localization	2	2/911	AN8836/AN6978
TRUE	FALSE	3	GO:0043433	negative regulation of DNA-binding transcription factor activity	1	1/911	AN6988
TRUE	FALSE	3	GO:0043901	negative regulation of multi-organism process	5	5/911	AN4238/AN3648/AN1967/AN2555/AN3387
TRUE	FALSE	3	GO:0048585	negative regulation of response to stimulus	6	6/911	AN12206/AN4238/AN7554/AN0953/AN1832/AN2555
TRUE	FALSE	3	GO:0051051	negative regulation of transport	1	1/911	AN8836
TRUE	FALSE	3	GO:1905953	negative regulation of lipid localization	1	1/911	AN8836
TRUE	FALSE	3	GO:0030155	regulation of cell adhesion	1	1/911	AN4486
TRUE	FALSE	3	GO:0032879	regulation of localization	7	7/911	AN8836/AN8233/AN4238/AN3648/AN6978/AN7683/AN8374
TRUE	FALSE	3	GO:0042752	regulation of circadian rhythm	1	1/911	AN2412
TRUE	FALSE	3	GO:0043900	regulation of multi-organism process	11	11/911	AN4639/AN4486/AN8044/AN12206/AN4238/AN3648/AN1967/AN2555/AN3437/AN3387/AN5211
TRUE	FALSE	3	GO:0044087	regulation of cellular component biogenesis	9	9/911	AN4238/AN9463/AN7077/AN6988/AN6978/AN7683/AN12237/AN2317/AN2687
TRUE	FALSE	3	GO:0048518	positive regulation of biological process	41	41/911	AN4819/AN4775/AN4639/AN4513/AN4486/AN4317/AN8836/AN8013/AN8042/AN8044/AN12206/AN8285/AN4238/AN4118/AN9463/AN3806/AN3648/AN7077/AN6988/AN6978/AN7554/AN7697/AN5996/AN6549/AN6594/AN6927/AN1303/AN10087/AN12237/AN10190/AN1612/AN1832/AN1967/AN2317/AN2555/AN9065/AN3154/AN8374/AN5211/AN5529/AN10682
TRUE	FALSE	3	GO:0048519	negative regulation of biological process	47	47/911	AN4585/AN4530/AN4513/AN4486/AN8836/AN8691/AN8042/AN12206/AN11067/AN4238/AN9463/AN3806/AN3648/AN3602/AN6988/AN6978/AN7461/AN7554/AN7628/AN7683/AN6214/AN6492/AN6617/AN6677/AN6687/AN6896/AN1191/AN1158/AN1019/AN0953/AN0874/AN12237/AN1488/AN1832/AN1859/AN1967/AN2555/AN9120/AN3387/AN3156/AN3118/AN2973/AN2856/AN5220/AN5758/AN10701/AN5482
TRUE	FALSE	3	GO:0048583	regulation of response to stimulus	14	14/911	AN4317/AN8836/AN12206/AN4238/AN9463/AN3806/AN3648/AN7189/AN7554/AN7697/AN6927/AN0953/AN1832/AN2555
TRUE	FALSE	3	GO:1903664	regulation of asexual reproduction	4	4/911	AN4819/AN7697/AN0055/AN1967
TRUE	FALSE	3	GO:0006950	response to stress	75	75/911	AN4912/AN4887/AN4747/AN4736/AN4731/AN4530/AN4380/AN4331/AN4317/AN8836/AN8042/AN8044/AN8080/AN8201/AN11055/AN12206/AN8285/AN4238/AN4215/AN10507/AN3890/AN3806/AN3797/AN3749/AN3648/AN7189/AN6988/AN7484/AN7554/AN7697/AN7708/AN7766/AN6303/AN6246/AN6214/AN6170/AN6089/AN6496/AN6678/AN6687/AN6705/AN6728/AN6895/AN6896/AN9374/AN1191/AN0953/AN10087/AN0158/AN0126/AN1488/AN1503/AN1795/AN1832/AN1859/AN1967/AN10296/AN2412/AN2470/AN2530/AN9126/AN9103/AN10415/AN3156/AN3144/AN3129/AN3118/AN2973/AN8346/AN5774/AN5751/AN10701/AN5617/AN5602/AN5529
TRUE	FALSE	3	GO:0009605	response to external stimulus	14	14/911	AN4380/AN8836/AN8044/AN12206/AN4238/AN7697/AN7766/AN6496/AN6687/AN1158/AN0953/AN1832/AN5774/AN10701
TRUE	FALSE	3	GO:0009607	response to biotic stimulus	15	15/911	AN4380/AN8836/AN8044/AN7189/AN7697/AN7766/AN6496/AN6687/AN1158/AN1832/AN9126/AN8488/AN5220/AN5774/AN10701
TRUE	FALSE	3	GO:0009628	response to abiotic stimulus	20	20/911	AN4887/AN4331/AN4238/AN10507/AN3797/AN7484/AN7554/AN7697/AN6303/AN6246/AN6089/AN6886/AN1191/AN10087/AN1488/AN1503/AN10296/AN2530/AN5602/AN5529
TRUE	FALSE	3	GO:0042221	response to chemical	61	61/911	AN4912/AN4887/AN4774/AN4770/AN4747/AN4736/AN4647/AN4615/AN4614/AN4530/AN4317/AN4309/AN8836/AN8042/AN8080/AN8122/AN11055/AN8273/AN8283/AN4238/AN4215/AN10507/AN4118/AN7208/AN7189/AN10880/AN10878/AN7554/AN7697/AN7708/AN6359/AN6246/AN6214/AN6170/AN10767/AN5908/AN6886/AN6898/AN1061/AN0776/AN0469/AN0158/AN1488/AN1795/AN1901/AN10251/AN10296/AN2412/AN2470/AN2530/AN2555/AN9103/AN3307/AN3168/AN3129/AN2856/AN2687/AN8346/AN5193/AN5211/AN10701
TRUE	FALSE	3	GO:0072376	protein activation cascade	1	1/911	AN1832
TRUE	FALSE	3	GO:0031503	protein-containing complex localization	9	9/911	AN4317/AN8285/AN4060/AN6978/AN5997/AN1190/AN1157/AN3437/AN5482
TRUE	FALSE	3	GO:0033036	macromolecule localization	48	48/911	AN4912/AN4804/AN4564/AN4513/AN4318/AN4317/AN8836/AN12344/AN8233/AN8285/AN11072/AN4238/AN4060/AN4043/AN3843/AN9463/AN3720/AN3648/AN10921/AN6978/AN7462/AN7683/AN6269/AN6257/AN6248/AN6089/AN5997/AN5819/AN6580/AN6687/AN6898/AN1190/AN1158/AN1157/AN0821/AN0819/AN0261/AN10034/AN12237/AN2050/AN2432/AN3437/AN2756/AN2687/AN8374/AN10710/AN5529/AN5482
TRUE	FALSE	3	GO:0036214	contractile ring localization	3	3/911	AN4564/AN9463/AN7707
TRUE	FALSE	3	GO:0051234	establishment of localization	111	111/911	AN5049/AN4912/AN4842/AN4804/AN4513/AN4318/AN4317/AN8836/AN8816/AN11120/AN8647/AN8018/AN8122/AN12344/AN8233/AN12206/AN4131/AN4119/AN4091/AN4060/AN4043/AN3910/AN3843/AN3813/AN3776/AN3720/AN3648/AN3498/AN10921/AN7200/AN10878/AN6978/AN7459/AN7462/AN7466/AN10958/AN7569/AN7571/AN7618/AN7683/AN7779/AN7800/AN6418/AN6311/AN6269/AN6257/AN6248/AN6216/AN11499/AN6089/AN6053/AN10767/AN5997/AN10754/AN5819/AN6580/AN6690/AN6738/AN6831/AN6898/AN9393/AN1190/AN1181/AN1157/AN1061/AN1022/AN1008/AN0938/AN0821/AN0819/AN0762/AN0469/AN0418/AN0399/AN0332/AN0261/AN10034/AN9000/AN8874/AN1612/AN1795/AN2050/AN2101/AN2315/AN2432/AN2613/AN2614/AN9184/AN9146/AN11167/AN3439/AN3437/AN3329/AN3254/AN3168/AN3160/AN3157/AN3144/AN2985/AN2910/AN10343/AN2756/AN2687/AN8374/AN8416/AN8488/AN5195/AN10710/AN10724/AN5606/AN5482
TRUE	FALSE	3	GO:0051235	maintenance of location	4	4/911	AN11072/AN6898/AN1832/AN5529
TRUE	FALSE	3	GO:0051641	cellular localization	54	54/911	AN4804/AN4513/AN4318/AN4317/AN8836/AN12344/AN8233/AN8285/AN4060/AN4043/AN3910/AN3843/AN9463/AN3720/AN3648/AN10921/AN10878/AN6978/AN7462/AN7683/AN6257/AN6248/AN6089/AN5997/AN10754/AN5819/AN6580/AN6687/AN6738/AN6898/AN1190/AN1158/AN1157/AN0821/AN0819/AN0261/AN10034/AN8874/AN12237/AN2050/AN2101/AN2315/AN2432/AN9146/AN3437/AN3144/AN2756/AN2687/AN8488/AN5195/AN10710/AN10724/AN5529/AN5482
TRUE	FALSE	3	GO:0051707	response to other organism	3	3/911	AN7697/AN1158/AN1832
TRUE	FALSE	3	GO:0044419	interspecies interaction between organisms	15	15/911	AN4755/AN4592/AN8836/AN8122/AN4238/AN4215/AN4052/AN3806/AN7683/AN7697/AN6496/AN1158/AN1832/AN3387/AN3307
TRUE	FALSE	3	GO:0051703	intraspecies interaction between organisms	2	2/911	AN4486/AN4052
TRUE	FALSE	3	GO:0050789	regulation of biological process	126	126/911	AN4939/AN4887/AN4867/AN4819/AN4775/AN4639/AN4595/AN4585/AN4564/AN4530/AN4513/AN4489/AN4486/AN4377/AN4343/AN4317/AN8836/AN8691/AN7942/AN8013/AN8042/AN8044/AN8080/AN8125/AN8232/AN8233/AN12206/AN11067/AN8273/AN8285/AN4238/AN4215/AN4160/AN4134/AN4118/AN4113/AN4035/AN3986/AN3863/AN9463/AN3806/AN10436/AN3648/AN3602/AN7189/AN7077/AN7051/AN6988/AN6978/AN7459/AN7461/AN10957/AN7554/AN7628/AN7683/AN7697/AN6359/AN6214/AN5996/AN5806/AN6492/AN6549/AN6594/AN6617/AN6667/AN6677/AN6687/AN6705/AN6728/AN6832/AN6837/AN6846/AN6896/AN6927/AN1303/AN1191/AN1158/AN1019/AN0953/AN0874/AN10087/AN0055/AN12237/AN10206/AN10190/AN1488/AN1612/AN1824/AN1832/AN1859/AN1927/AN1967/AN2136/AN2306/AN2317/AN10294/AN2412/AN2555/AN11185/AN9120/AN9103/AN9065/AN3437/AN3387/AN3156/AN3154/AN3129/AN3118/AN11704/AN2973/AN2856/AN10337/AN2687/AN2667/AN8346/AN8374/AN8535/AN5195/AN5211/AN5220/AN5758/AN10701/AN5529/AN10682/AN5482/AN5390
TRUE	FALSE	3	GO:0065008	regulation of biological quality	32	32/911	AN4912/AN4867/AN4595/AN4564/AN8080/AN8205/AN11072/AN4238/AN4215/AN9463/AN7459/AN7571/AN7683/AN7801/AN6089/AN6053/AN6580/AN6895/AN6898/AN1191/AN0017/AN12237/AN1795/AN1832/AN2317/AN9146/AN9103/AN2687/AN8346/AN8374/AN5606/AN5529
TRUE	FALSE	3	GO:0065009	regulation of molecular function	12	12/911	AN4736/AN4317/AN8232/AN9463/AN3648/AN6988/AN7554/AN5996/AN6927/AN10087/AN2317/AN10682
TRUE	FALSE	3	GO:0044085	cellular component biogenesis	61	61/911	AN4916/AN4867/AN4842/AN4804/AN4777/AN4740/AN10585/AN4731/AN11975/AN8691/AN8042/AN11060/AN11055/AN12344/AN11072/AN4238/AN4060/AN4052/AN9463/AN7144/AN7077/AN6988/AN6978/AN7628/AN7683/AN7707/AN6310/AN6255/AN6089/AN5997/AN5979/AN5818/AN6492/AN6549/AN6593/AN6594/AN6896/AN1353/AN10175/AN1266/AN1066/AN0821/AN0776/AN8874/AN12237/AN2292/AN2317/AN2432/AN3437/AN3168/AN3167/AN3156/AN2973/AN2687/AN5222/AN10708/AN5774/AN5758/AN5606/AN5529/AN5520
TRUE	FALSE	3	GO:0051410	detoxification of nitrogen compound	1	1/911	AN2470
TRUE	FALSE	3	GO:0061687	detoxification of inorganic compound	2	2/911	AN1795/AN8346
TRUE	TRUE	4	GO:0019953	sexual reproduction	141	141/3573	AN5028/AN10610/AN4935/AN4783/AN4702/AN4685/AN4570/AN4566/AN4501/AN4483/AN4419/AN4390/AN8825/AN8741/AN9504/AN8672/AN8605/AN7993/AN11032/AN11063/AN8262/AN4288/AN4263/AN10516/AN10515/AN4189/AN4182/AN4169/AN4163/AN3719/AN3688/AN3634/AN3607/AN3583/AN7388/AN7296/AN7252/AN7185/AN7169/AN10902/AN7030/AN7513/AN7533/AN7570/AN7657/AN7743/AN6340/AN6243/AN6231/AN6221/AN6197/AN6190/AN5973/AN5893/AN5836/AN5824/AN6487/AN6505/AN6542/AN6892/AN9380/AN9408/AN1402/AN1376/AN1339/AN1333/AN1222/AN1171/AN1052/AN1025/AN1017/AN0999/AN0988/AN11891/AN0931/AN0807/AN0733/AN0721/AN0651/AN0641/AN0640/AN0420/AN0410/AN0363/AN9450/AN0279/AN10030/AN0182/AN0098/AN0082/AN0081/AN0078/AN9008/AN1475/AN10193/AN1491/AN1536/AN1539/AN1555/AN1573/AN1661/AN10223/AN10227/AN1848/AN2011/AN2059/AN2062/AN2071/AN2129/AN2130/AN2269/AN2290/AN2419/AN2430/AN10306/AN2484/AN2489/AN2505/AN9121/AN3422/AN3416/AN3152/AN3148/AN3095/AN3090/AN3036/AN2919/AN2862/AN2742/AN2701/AN5156/AN5170/AN5759/AN5686/AN5651/AN5635/AN5619/AN5579/AN5523/AN5517/AN5457
TRUE	TRUE	4	GO:0019954	asexual reproduction	130	130/3573	AN5028/AN5021/AN4987/AN10610/AN4935/AN4897/AN4873/AN4716/AN4706/AN4695/AN4674/AN4570/AN4566/AN4563/AN4501/AN4496/AN4493/AN8862/AN8842/AN8825/AN8741/AN11032/AN8129/AN11063/AN4263/AN10515/AN4189/AN4182/AN3735/AN3719/AN3688/AN3607/AN7185/AN7032/AN7030/AN7464/AN7513/AN7542/AN7657/AN7687/AN7757/AN6341/AN6318/AN6317/AN6243/AN6230/AN6197/AN6037/AN5934/AN5893/AN5836/AN6510/AN6566/AN6589/AN6731/AN6920/AN9339/AN1370/AN1324/AN1189/AN1171/AN1168/AN1052/AN1037/AN1025/AN1017/AN11891/AN0931/AN0863/AN0787/AN0721/AN0651/AN0641/AN0636/AN0453/AN0420/AN0410/AN0363/AN0279/AN10030/AN0186/AN0182/AN0118/AN0082/AN0081/AN8945/AN10193/AN1491/AN1536/AN1539/AN1555/AN1560/AN1632/AN1661/AN1713/AN1848/AN1875/AN2009/AN2059/AN2067/AN2129/AN2269/AN2421/AN2489/AN2505/AN2523/AN9121/AN3470/AN3441/AN3422/AN3416/AN3113/AN3095/AN3036/AN2936/AN2919/AN2911/AN2742/AN2740/AN5131/AN10635/AN5156/AN5757/AN5755/AN5740/AN5726/AN5660/AN5635/AN5457/AN5296
