group	n
G1: LFC >= 2	48
G2: 1 <= LFC < 2	71
G3: 0.5 <= LFC < 1	76
G4: 0 <= LFC < 0.5	92
G5: -0.5 < LFC < 0	101
G6: -1 < LFC <= -0.5	82
G7: -2 < LFC <= -1	105
G8: -2 >= LFC	54
