hasPeak.An_sntB_20h_HA_1	hasPeak.An_sntB_48h_HA_1	group	ID	Description	Count	GeneRatio	geneID
FALSE	TRUE	2	GO:0071704	organic substance metabolic process	440	440/1191	AN5060/AN10621/AN11773/AN4997/AN4972/AN4953/AN4936/AN4901/AN4894/AN4869/AN4864/AN4837/AN4830/AN4825/AN4822/AN4743/AN4691/AN4684/AN4678/AN4652/AN4613/AN4601/AN4546/AN4521/AN4505/AN4465/AN4430/AN4404/AN4303/AN4298/AN8870/AN11131/AN8867/AN8865/AN8853/AN8848/AN8847/AN8827/AN8793/AN8790/AN8713/AN8709/AN7951/AN7971/AN7995/AN8007/AN8035/AN8044/AN8053/AN8074/AN8078/AN8111/AN8138/AN8149/AN8182/AN8190/AN8191/AN9460/AN8212/AN8272/AN8280/AN8282/AN11072/AN8293/AN4279/AN4278/AN4272/AN4271/AN4251/AN4244/AN4175/AN4174/AN4073/AN4057/AN4056/AN4055/AN10504/AN4013/AN10502/AN3916/AN3913/AN3890/AN3881/AN3879/AN10472/AN3866/AN3863/AN3840/AN3837/AN3824/AN12478/AN3769/AN3768/AN10444/AN10462/AN3745/AN3741/AN3725/AN11411/AN3683/AN10436/AN3666/AN10434/AN3637/AN3636/AN3626/AN3598/AN3593/AN3583/AN3531/AN10929/AN10925/AN7275/AN10911/AN7201/AN7182/AN7123/AN7118/AN7104/AN7029/AN7028/AN7019/AN7008/AN7007/AN10877/AN6985/AN6978/AN12059/AN6975/AN7422/AN7423/AN7438/AN7479/AN7487/AN10956/AN7526/AN7545/AN10950/AN7590/AN7604/AN10981/AN7666/AN7701/AN7748/AN7819/AN7847/AN10819/AN6438/AN6396/AN6382/AN6374/AN6346/AN10800/AN6312/AN6305/AN6293/AN6286/AN6251/AN6221/AN6202/AN6182/AN6110/AN6091/AN6037/AN5916/AN10740/AN10747/AN5833/AN5824/AN5812/AN6496/AN6507/AN10824/AN6517/AN6521/AN6525/AN6561/AN6576/AN6577/AN6585/AN6610/AN6639/AN6698/AN6712/AN6713/AN6726/AN6751/AN6752/AN6820/AN6832/AN10854/AN10855/AN6866/AN6880/AN6889/AN11250/AN6933/AN6968/AN9293/AN9315/AN9373/AN9395/AN1403/AN10184/AN1376/AN1332/AN1245/AN1232/AN1202/AN1198/AN1191/AN1190/AN1179/AN1175/AN1170/AN1165/AN1132/AN1103/AN1095/AN1092/AN1084/AN1059/AN1039/AN1019/AN0942/AN0931/AN0914/AN0912/AN0891/AN0868/AN0843/AN0840/AN0839/AN0824/AN0816/AN0809/AN0808/AN0757/AN0748/AN0716/AN0687/AN0685/AN0609/AN0576/AN0558/AN0486/AN0472/AN0465/AN0452/AN0445/AN0440/AN0432/AN0423/AN0407/AN0388/AN10059/AN10060/AN0321/AN0295/AN0293/AN0253/AN0252/AN0197/AN0174/AN0144/AN0138/AN0137/AN0106/AN0104/AN0092/AN10007/AN0040/AN8977/AN8953/AN8947/AN8930/AN11143/AN8902/AN8899/AN8894/AN8890/AN9420/AN9424/AN12473/AN1406/AN1409/AN1418/AN1469/AN1485/AN1486/AN1491/AN1502/AN1508/AN10215/AN1523/AN1546/AN1571/AN1663/AN1671/AN1673/AN1731/AN1733/AN1742/AN1743/AN1772/AN1777/AN1798/AN1802/AN11793/AN1852/AN1867/AN1868/AN1874/AN1895/AN1896/AN1897/AN1898/AN1899/AN1904/AN1921/AN1937/AN2002/AN2025/AN2047/AN2129/AN2144/AN2155/AN2163/AN10266/AN10274/AN2212/AN2213/AN2225/AN2229/AN2237/AN2240/AN2243/AN2246/AN2256/AN2373/AN12120/AN2422/AN2426/AN2450/AN2451/AN2464/AN2489/AN11962/AN2565/AN2611/AN9157/AN9141/AN9114/AN9106/AN9096/AN9094/AN10415/AN3459/AN3449/AN3448/AN3441/AN3435/AN3393/AN3369/AN3360/AN3356/AN3313/AN3269/AN3201/AN3184/AN3169/AN3112/AN3101/AN3031/AN3003/AN2967/AN2947/AN2946/AN2905/AN2901/AN2860/AN2854/AN2850/AN2848/AN2829/AN2828/AN2814/AN2796/AN10340/AN2766/AN2759/AN10336/AN2755/AN2664/AN2623/AN8323/AN8396/AN8401/AN8426/AN8445/AN8473/AN8545/AN5114/AN5124/AN5133/AN5159/AN5162/AN5178/AN5192/AN5206/AN5217/AN5237/AN10649/AN5797/AN5790/AN5777/AN5760/AN5722/AN5721/AN5698/AN5691/AN5690/AN5674/AN5655/AN5646/AN5644/AN5643/AN5635/AN5631/AN5619/AN5613/AN12437/AN5588/AN5574/AN5569/AN5529/AN5402/AN5342/AN5324/AN5267
FALSE	TRUE	2	GO:0031640	killing of cells of other organism	2	2/1191	AN3583/AN10184
FALSE	TRUE	2	GO:0002682	regulation of immune system process	1	1/1191	AN3583
FALSE	TRUE	2	GO:0002684	positive regulation of immune system process	1	1/1191	AN3583
FALSE	TRUE	2	GO:0006955	immune response	1	1/1191	AN3583
FALSE	TRUE	2	GO:0016049	cell growth	13	13/1191	AN4743/AN8862/AN10516/AN7487/AN6037/AN1324/AN0106/AN1558/AN2464/AN2854/AN5162/AN5797/AN5686
FALSE	TRUE	2	GO:0007117	budding cell bud growth	4	4/1191	AN8862/AN7487/AN1324/AN1875
FALSE	TRUE	2	GO:0030447	filamentous growth	64	64/1191	AN4953/AN4743/AN4685/AN12465/AN4416/AN8862/AN8848/AN8044/AN8071/AN8182/AN11071/AN4278/AN10516/AN10504/AN3913/AN12478/AN3683/AN10434/AN3636/AN3583/AN10929/AN7104/AN7487/AN10956/AN7602/AN6341/AN6305/AN6293/AN6037/AN6496/AN10854/AN12408/AN10184/AN1324/AN1191/AN0931/AN0891/AN0253/AN0163/AN0144/AN0118/AN8877/AN8874/AN12473/AN1418/AN1546/AN1661/AN1733/AN11793/AN2047/AN2129/AN2212/AN2246/AN2464/AN2489/AN2516/AN3441/AN3112/AN2901/AN2854/AN5162/AN5686/AN5632/AN5529
FALSE	TRUE	2	GO:0040008	regulation of growth	17	17/1191	AN8862/AN8273/AN3913/AN10929/AN7487/AN6305/AN0891/AN0163/AN0118/AN1485/AN1491/AN11793/AN2129/AN2489/AN2854/AN5797/AN5588
FALSE	TRUE	2	GO:0045926	negative regulation of growth	3	3/1191	AN10929/AN2489/AN2854
FALSE	TRUE	2	GO:0045927	positive regulation of growth	4	4/1191	AN3913/AN7487/AN6305/AN11793
FALSE	TRUE	2	GO:0048589	developmental growth	7	7/1191	AN4743/AN8862/AN0106/AN1558/AN2129/AN2464/AN5797
FALSE	TRUE	2	GO:0007059	chromosome segregation	17	17/1191	AN4678/AN4597/AN8282/AN3579/AN6978/AN6340/AN6553/AN1170/AN0253/AN0118/AN1922/AN2128/AN2143/AN2886/AN10336/AN5133/AN5631
FALSE	TRUE	2	GO:0007017	microtubule-based process	16	16/1191	AN4997/AN4706/AN4417/AN8862/AN8286/AN3579/AN6978/AN6340/AN1324/AN0316/AN0295/AN0118/AN8874/AN2047/AN2128/AN5797
FALSE	TRUE	2	GO:0000075	cell cycle checkpoint	5	5/1191	AN4279/AN7007/AN6975/AN2128/AN2246
FALSE	TRUE	2	GO:0000920	septum digestion after cytokinesis	4	4/1191	AN8182/AN7487/AN0472/AN0118
FALSE	TRUE	2	GO:0006457	protein folding	9	9/1191	AN8847/AN3598/AN3592/AN9420/AN12473/AN1469/AN1904/AN12337/AN5588
FALSE	TRUE	2	GO:0007165	signal transduction	32	32/1191	AN4998/AN4953/AN4795/AN4743/AN4685/AN4546/AN3913/AN3598/AN7028/AN6978/AN7487/AN7602/AN7743/AN6305/AN6120/AN5824/AN6820/AN1377/AN0931/AN0576/AN0163/AN0113/AN0112/AN0106/AN1661/AN2246/AN2520/AN3438/AN3435/AN3101/AN2947/AN5791
FALSE	TRUE	2	GO:0006928	movement of cell or subcellular component	8	8/1191	AN4706/AN8862/AN8286/AN6340/AN0316/AN0118/AN8874/AN2128
FALSE	TRUE	2	GO:0006949	syncytium formation	4	4/1191	AN4743/AN8071/AN10504/AN10261
FALSE	TRUE	2	GO:0007049	cell cycle	69	69/1191	AN10621/AN4997/AN4936/AN4706/AN4685/AN4678/AN4601/AN4597/AN4417/AN8862/AN8713/AN8071/AN8182/AN8282/AN4279/AN4278/AN4263/AN10516/AN3725/AN3666/AN3579/AN7104/AN7007/AN6978/AN6975/AN7423/AN7487/AN10956/AN6340/AN6305/AN6553/AN6578/AN1324/AN1170/AN1019/AN0931/AN0808/AN0472/AN0316/AN0295/AN0253/AN0144/AN0118/AN0113/AN9424/AN1546/AN1661/AN1875/AN1922/AN2047/AN2128/AN2143/AN2246/AN2426/AN2489/AN3435/AN3169/AN2854/AN10336/AN2755/AN5133/AN5717/AN5686/AN5635/AN5631/AN5627/AN5619/AN5574/AN5518
FALSE	TRUE	2	GO:0007154	cell communication	52	52/1191	AN4998/AN4953/AN4795/AN4743/AN4685/AN4546/AN8044/AN3913/AN12478/AN10434/AN3636/AN3598/AN3592/AN7104/AN7028/AN6978/AN7487/AN7602/AN7743/AN6305/AN6293/AN6221/AN6120/AN5824/AN6496/AN6820/AN10854/AN1377/AN0931/AN0609/AN0576/AN0163/AN0118/AN0113/AN0112/AN0106/AN12473/AN1546/AN1661/AN1731/AN1733/AN2246/AN2489/AN2520/AN3441/AN3438/AN3435/AN3101/AN2947/AN8540/AN5791/AN5635
FALSE	TRUE	2	GO:0007163	establishment or maintenance of cell polarity	23	23/1191	AN4953/AN4743/AN4685/AN4547/AN8862/AN8848/AN8182/AN8286/AN4278/AN7487/AN6340/AN6037/AN5972/AN10743/AN1324/AN0316/AN0118/AN0106/AN1485/AN1558/AN2516/AN2766/AN5529
FALSE	TRUE	2	GO:0008219	cell death	4	4/1191	AN3913/AN3592/AN9315/AN10184
FALSE	TRUE	2	GO:0019835	cytolysis	4	4/1191	AN3583/AN6258/AN10184/AN0163
FALSE	TRUE	2	GO:0016043	cellular component organization	136	136/1191	AN10621/AN11773/AN10622/AN4998/AN4997/AN4953/AN4894/AN4743/AN4706/AN11975/AN4678/AN4601/AN4597/AN4579/AN4417/AN4416/AN11131/AN8862/AN8853/AN8827/AN8713/AN8071/AN8182/AN8282/AN8286/AN11072/AN4278/AN3879/AN3745/AN3725/AN10466/AN3696/AN3598/AN3583/AN3579/AN10925/AN7182/AN7047/AN7029/AN7019/AN6978/AN6975/AN7423/AN7487/AN10956/AN7545/AN7561/AN7748/AN6341/AN6340/AN10800/AN6305/AN6297/AN6293/AN6258/AN6202/AN11500/AN10743/AN5824/AN6553/AN10854/AN10855/AN12408/AN1324/AN10178/AN1245/AN1191/AN1170/AN1093/AN1089/AN1039/AN0931/AN0914/AN0816/AN0808/AN0576/AN0558/AN0472/AN0462/AN0447/AN0440/AN0316/AN0295/AN0253/AN0163/AN0118/AN0113/AN0106/AN0040/AN8877/AN8874/AN1407/AN1408/AN1469/AN1485/AN1491/AN10215/AN1546/AN1558/AN1892/AN1921/AN1922/AN1937/AN2047/AN10261/AN2128/AN2143/AN2155/AN2212/AN2213/AN2426/AN2464/AN2477/AN2516/AN2520/AN11175/AN9062/AN3448/AN3441/AN3112/AN2886/AN2854/AN2850/AN10336/AN5100/AN5133/AN5217/AN5797/AN5686/AN5643/AN5631/AN5619/AN5588/AN5529/AN5518/AN5491
FALSE	TRUE	2	GO:0016458	gene silencing	14	14/1191	AN10621/AN11773/AN8282/AN3879/AN10956/AN1191/AN1170/AN1039/AN0253/AN1491/AN1546/AN2426/AN2854/AN5643
FALSE	TRUE	2	GO:0019725	cellular homeostasis	15	15/1191	AN12465/AN8791/AN11072/AN3973/AN3913/AN10444/AN7666/AN6305/AN6293/AN10804/AN6107/AN6923/AN3435/AN2977/AN5529
FALSE	TRUE	2	GO:0022402	cell cycle process	66	66/1191	AN10621/AN4997/AN4936/AN4706/AN4685/AN4678/AN4601/AN4597/AN4417/AN8862/AN8713/AN8071/AN8182/AN8282/AN4279/AN4278/AN4263/AN10516/AN3725/AN3666/AN3579/AN7104/AN7007/AN6978/AN6975/AN7423/AN7487/AN6340/AN6553/AN6578/AN1324/AN1170/AN1019/AN0931/AN0808/AN0472/AN0316/AN0295/AN0253/AN0144/AN0118/AN0113/AN9424/AN1546/AN1661/AN1922/AN2047/AN2128/AN2143/AN2246/AN2426/AN2489/AN3435/AN3169/AN2854/AN10336/AN2755/AN5133/AN5717/AN5686/AN5635/AN5631/AN5627/AN5619/AN5574/AN5518
FALSE	TRUE	2	GO:0022406	membrane docking	3	3/1191	AN8862/AN0462/AN2518
FALSE	TRUE	2	GO:0030029	actin filament-based process	18	18/1191	AN4998/AN4953/AN4743/AN4706/AN8862/AN4278/AN3696/AN7487/AN6341/AN10743/AN1324/AN0931/AN0163/AN0113/AN1558/AN2516/AN5686/AN5529
FALSE	TRUE	2	GO:0032940	secretion by cell	5	5/1191	AN4890/AN8862/AN7487/AN0462/AN2518
FALSE	TRUE	2	GO:0036166	phenotypic switching	2	2/1191	AN3913/AN6305
FALSE	TRUE	2	GO:0044764	multi-organism cellular process	21	21/1191	AN4998/AN4894/AN4685/AN8044/AN3913/AN3598/AN3583/AN7487/AN7743/AN6340/AN6312/AN6305/AN5824/AN10184/AN0472/AN10059/AN2047/AN2520/AN5791/AN5686/AN12437
FALSE	TRUE	2	GO:0048522	positive regulation of cellular process	59	59/1191	AN4998/AN4936/AN4743/AN4465/AN11131/AN8865/AN8847/AN8044/AN8182/AN8282/AN4263/AN3913/AN3583/AN7104/AN6975/AN7423/AN7487/AN10956/AN7602/AN7743/AN6312/AN6305/AN6293/AN5824/AN6553/AN6578/AN10854/AN6889/AN9315/AN10184/AN1324/AN1089/AN1039/AN0931/AN0914/AN0891/AN0808/AN0576/AN0388/AN0106/AN9424/AN1485/AN1546/AN1558/AN1661/AN11793/AN1922/AN1937/AN2246/AN2489/AN2520/AN11175/AN3435/AN3369/AN2854/AN2755/AN5791/AN5686/AN5529
FALSE	TRUE	2	GO:0048523	negative regulation of cellular process	47	47/1191	AN10621/AN11773/AN4998/AN4997/AN4936/AN4546/AN4465/AN8282/AN8286/AN4279/AN4263/AN3913/AN3879/AN3725/AN7007/AN6978/AN6975/AN10956/AN7545/AN6305/AN6293/AN6221/AN6578/AN1377/AN1191/AN1179/AN1170/AN1132/AN1039/AN1019/AN10059/AN0295/AN0253/AN0106/AN1485/AN1491/AN1546/AN2128/AN2143/AN2246/AN2426/AN2489/AN3435/AN2854/AN5217/AN5686/AN5643
FALSE	TRUE	2	GO:0048869	cellular developmental process	55	55/1191	AN10621/AN4997/AN4953/AN4743/AN4706/AN4601/AN8862/AN8853/AN8713/AN8071/AN8273/AN8282/AN8286/AN4263/AN10516/AN3913/AN7104/AN7007/AN7487/AN6341/AN6305/AN6037/AN6578/AN10854/AN10184/AN1324/AN1170/AN0931/AN0472/AN0316/AN0144/AN0118/AN0106/AN8874/AN1485/AN1491/AN1558/AN1661/AN1937/AN2047/AN2129/AN2246/AN2426/AN2464/AN2489/AN2516/AN3448/AN3441/AN3435/AN2854/AN2755/AN5797/AN5635/AN5619/AN5529
FALSE	TRUE	2	GO:0050794	regulation of cellular process	171	171/1191	AN10621/AN11773/AN4998/AN4997/AN4972/AN4953/AN4936/AN4837/AN4795/AN4743/AN4685/AN12465/AN4546/AN4521/AN4465/AN11131/AN8865/AN8862/AN8847/AN8827/AN7951/AN8035/AN8044/AN8071/AN8111/AN8182/AN8282/AN8286/AN4279/AN4263/AN4175/AN10504/AN3973/AN3913/AN3879/AN3863/AN3840/AN3769/AN3768/AN10444/AN3725/AN3683/AN10436/AN3637/AN3598/AN3583/AN10911/AN7118/AN7104/AN7028/AN7007/AN6978/AN6975/AN7423/AN7438/AN7487/AN10956/AN7545/AN7602/AN7743/AN7819/AN6396/AN6341/AN6312/AN6305/AN6293/AN6258/AN6221/AN6120/AN6091/AN5824/AN6553/AN6578/AN6820/AN6832/AN10854/AN6889/AN9293/AN9315/AN9373/AN9395/AN10184/AN1377/AN1324/AN1232/AN1191/AN1179/AN1170/AN1132/AN1089/AN1039/AN1019/AN0931/AN0914/AN0891/AN0808/AN0748/AN0576/AN0440/AN0388/AN10059/AN0316/AN0295/AN0253/AN0197/AN0163/AN0138/AN0113/AN0112/AN0106/AN8930/AN8902/AN8894/AN9424/AN1406/AN1408/AN1485/AN1491/AN1546/AN1558/AN1661/AN11793/AN1867/AN1922/AN1937/AN2025/AN2047/AN2128/AN2129/AN2143/AN2229/AN2246/AN12120/AN2422/AN2426/AN2489/AN2516/AN2520/AN9141/AN11175/AN9096/AN3449/AN3448/AN3438/AN3435/AN3369/AN3356/AN3269/AN3101/AN2947/AN2905/AN2901/AN2854/AN2848/AN10336/AN2755/AN8426/AN8473/AN5133/AN5217/AN5797/AN5791/AN5717/AN5691/AN5686/AN5643/AN5631/AN5627/AN5569/AN5529/AN5342
FALSE	TRUE	2	GO:0051301	cell division	17	17/1191	AN4706/AN4685/AN8862/AN8182/AN4278/AN7487/AN1324/AN0472/AN0118/AN0113/AN1875/AN2047/AN2128/AN3169/AN2886/AN5686/AN5518
FALSE	TRUE	2	GO:0051651	maintenance of location in cell	7	7/1191	AN4951/AN4685/AN4279/AN4278/AN5915/AN0576/AN5529
FALSE	TRUE	2	GO:0051716	cellular response to stimulus	123	123/1191	AN10621/AN11773/AN4998/AN4953/AN4894/AN4795/AN4743/AN4685/AN4678/AN4546/AN8862/AN8847/AN8793/AN8713/AN8044/AN8078/AN11071/AN8273/AN4279/AN4277/AN4272/AN4271/AN3973/AN3913/AN3890/AN3879/AN12478/AN3745/AN3725/AN3696/AN3666/AN10434/AN3636/AN3598/AN3592/AN3583/AN7104/AN7029/AN7028/AN6978/AN6975/AN7423/AN7487/AN10956/AN7590/AN7602/AN7743/AN6305/AN6293/AN6246/AN6221/AN6120/AN5824/AN6496/AN6517/AN6820/AN10854/AN6923/AN1377/AN1232/AN1191/AN1170/AN1131/AN1039/AN0931/AN0914/AN0757/AN0687/AN0609/AN0576/AN0432/AN0423/AN0316/AN0295/AN0163/AN0138/AN0137/AN0118/AN0113/AN0112/AN0106/AN12473/AN1491/AN1546/AN1661/AN1731/AN1733/AN1743/AN1932/AN2047/AN2163/AN10266/AN2210/AN2212/AN2240/AN2246/AN2489/AN2516/AN2520/AN10415/AN3448/AN3441/AN3438/AN3435/AN3101/AN2947/AN2854/AN10336/AN8540/AN5114/AN5159/AN5791/AN5722/AN5643/AN5635/AN5632/AN5627/AN5574/AN5569/AN5529/AN5450/AN5342/AN5324
FALSE	TRUE	2	GO:0061919	process utilizing autophagic mechanism	12	12/1191	AN4416/AN4278/AN3879/AN7428/AN10956/AN0914/AN0576/AN0445/AN8874/AN2047/AN2246/AN5491
FALSE	TRUE	2	GO:0071554	cell wall organization or biogenesis	26	26/1191	AN4953/AN8848/AN8007/AN8138/AN8149/AN3583/AN7847/AN6341/AN6305/AN6293/AN0931/AN0558/AN0472/AN0452/AN0388/AN0106/AN8877/AN1798/AN1937/AN2516/AN3441/AN3112/AN8401/AN5619/AN5529/AN5267
FALSE	TRUE	2	GO:0140029	exocytic process	3	3/1191	AN8862/AN0462/AN2518
FALSE	TRUE	2	GO:0043609	regulation of carbon utilization	1	1/1191	AN0388
FALSE	TRUE	2	GO:0006808	regulation of nitrogen utilization	1	1/1191	AN6221
FALSE	TRUE	2	GO:0000742	karyogamy involved in conjugation with cellular fusion	2	2/1191	AN6340/AN2047
FALSE	TRUE	2	GO:0003006	developmental process involved in reproduction	40	40/1191	AN10621/AN4997/AN4601/AN8713/AN8071/AN8182/AN8282/AN4263/AN10516/AN10504/AN3913/AN7104/AN7007/AN7487/AN7743/AN6305/AN6221/AN5798/AN6578/AN6866/AN1376/AN1170/AN0931/AN0472/AN0144/AN0118/AN1491/AN1661/AN1937/AN2047/AN2129/AN2426/AN2489/AN2520/AN3435/AN2854/AN2755/AN5635/AN5619/AN5529
FALSE	TRUE	2	GO:0007534	gene conversion at mating-type locus	3	3/1191	AN10621/AN8713/AN7007
FALSE	TRUE	2	GO:0022413	reproductive process in single-celled organism	23	23/1191	AN10621/AN4997/AN4685/AN4601/AN8713/AN8071/AN8282/AN10516/AN7104/AN7007/AN7743/AN1170/AN0931/AN0144/AN1661/AN2047/AN2489/AN2520/AN2854/AN2755/AN5686/AN5635/AN5619
FALSE	TRUE	2	GO:0032220	plasma membrane fusion involved in cytogamy	1	1/1191	AN5686
FALSE	TRUE	2	GO:0044703	multi-organism reproductive process	41	41/1191	AN4998/AN4997/AN4894/AN4685/AN4601/AN8044/AN8071/AN4263/AN10516/AN10504/AN3913/AN3598/AN3583/AN7104/AN7487/AN7743/AN6340/AN6312/AN6305/AN6221/AN5824/AN5798/AN6578/AN6866/AN1376/AN0931/AN0472/AN0144/AN1491/AN1661/AN2047/AN2129/AN2426/AN2489/AN2520/AN3435/AN2755/AN5791/AN5686/AN5635/AN5619
FALSE	TRUE	2	GO:0051037	regulation of transcription involved in meiotic cell cycle	1	1/1191	AN1546
FALSE	TRUE	2	GO:0051321	meiotic cell cycle	28	28/1191	AN10621/AN4997/AN4601/AN8713/AN8071/AN8282/AN4279/AN4263/AN10516/AN7104/AN6975/AN7423/AN6305/AN6578/AN1170/AN0931/AN0472/AN0144/AN1546/AN1661/AN2047/AN2128/AN2426/AN2489/AN3435/AN2755/AN5635/AN5619
FALSE	TRUE	2	GO:0070871	cell wall organization involved in conjugation with cellular fusion	1	1/1191	AN0472
FALSE	TRUE	2	GO:0090220	chromosome localization to nuclear envelope involved in homologous chromosome segregation	2	2/1191	AN8282/AN1170
FALSE	TRUE	2	GO:1902441	protein localization to meiotic spindle pole body	1	1/1191	AN2047
FALSE	TRUE	2	GO:1903046	meiotic cell cycle process	26	26/1191	AN10621/AN4997/AN4601/AN8713/AN8071/AN8282/AN4279/AN4263/AN10516/AN7104/AN6975/AN7423/AN6578/AN1170/AN0931/AN0472/AN0144/AN1661/AN2047/AN2128/AN2426/AN2489/AN3435/AN2755/AN5635/AN5619
FALSE	TRUE	2	GO:2000241	regulation of reproductive process	19	19/1191	AN4998/AN8044/AN8071/AN8282/AN4279/AN4263/AN3913/AN3583/AN6975/AN7487/AN7743/AN6312/AN6305/AN5824/AN6578/AN1661/AN2520/AN3435/AN5791
FALSE	TRUE	2	GO:2000242	negative regulation of reproductive process	5	5/1191	AN4279/AN3913/AN6975/AN6305/AN6578
FALSE	TRUE	2	GO:2000243	positive regulation of reproductive process	15	15/1191	AN4998/AN8044/AN4263/AN3913/AN3583/AN6975/AN7487/AN7743/AN6312/AN6305/AN5824/AN1661/AN2520/AN3435/AN5791
FALSE	TRUE	2	GO:0007155	cell adhesion	4	4/1191	AN3913/AN3725/AN6305/AN2489
FALSE	TRUE	2	GO:0023051	regulation of signaling	15	15/1191	AN4998/AN4953/AN4546/AN7028/AN7602/AN6120/AN5824/AN1377/AN0931/AN0113/AN0112/AN1661/AN2246/AN2520/AN3438
FALSE	TRUE	2	GO:0023056	positive regulation of signaling	3	3/1191	AN7602/AN0931/AN2520
FALSE	TRUE	2	GO:0023057	negative regulation of signaling	4	4/1191	AN4998/AN4546/AN1377/AN2246
FALSE	TRUE	2	GO:0007275	multicellular organism development	23	23/1191	AN8071/AN8182/AN4263/AN10504/AN3913/AN7104/AN7487/AN7743/AN6305/AN6221/AN5798/AN6866/AN1376/AN0931/AN0144/AN0118/AN1491/AN1661/AN2129/AN2489/AN2520/AN3435/AN5529
FALSE	TRUE	2	GO:0032922	circadian regulation of gene expression	2	2/1191	AN1485/AN3435
FALSE	TRUE	2	GO:0009653	anatomical structure morphogenesis	39	39/1191	AN4997/AN4953/AN4743/AN4706/AN4601/AN8862/AN8853/AN8071/AN8286/AN4263/AN10516/AN10504/AN7104/AN7487/AN6305/AN6578/AN0931/AN0472/AN0316/AN0144/AN0106/AN1485/AN1558/AN1661/AN1937/AN2047/AN10261/AN2426/AN2464/AN2489/AN2516/AN3448/AN3441/AN3435/AN2755/AN5797/AN5635/AN5619/AN5529
FALSE	TRUE	2	GO:0007568	aging	5	5/1191	AN10854/AN1324/AN8874/AN2246/AN2464
FALSE	TRUE	2	GO:0009847	spore germination	7	7/1191	AN3913/AN6341/AN6305/AN0914/AN0118/AN2047/AN5722
FALSE	TRUE	2	GO:0048646	anatomical structure formation involved in morphogenesis	28	28/1191	AN4997/AN4743/AN4706/AN4601/AN8853/AN8071/AN4263/AN10516/AN10504/AN7104/AN7487/AN6305/AN6578/AN0931/AN0472/AN0144/AN1661/AN1937/AN2047/AN10261/AN2426/AN2489/AN3448/AN3441/AN3435/AN2755/AN5635/AN5619
FALSE	TRUE	2	GO:0043934	sporulation	35	35/1191	AN4997/AN4953/AN4706/AN4601/AN8853/AN8071/AN8273/AN4263/AN10516/AN3913/AN7104/AN6341/AN6305/AN6037/AN6578/AN10184/AN1324/AN0931/AN0472/AN0144/AN1485/AN1491/AN1661/AN1937/AN2047/AN2129/AN2426/AN2489/AN3448/AN3441/AN3435/AN2755/AN5635/AN5619/AN5529
FALSE	TRUE	2	GO:0044111	development involved in symbiotic interaction	2	2/1191	AN3583/AN6305
FALSE	TRUE	2	GO:0048856	anatomical structure development	55	55/1191	AN4997/AN4953/AN4743/AN4706/AN4601/AN8862/AN8853/AN8071/AN8182/AN8273/AN8286/AN4263/AN10516/AN10504/AN3913/AN7104/AN7487/AN7743/AN6341/AN6305/AN6221/AN6037/AN5798/AN6578/AN6866/AN10184/AN1376/AN1324/AN0931/AN0472/AN0316/AN0144/AN0118/AN0106/AN1485/AN1491/AN1558/AN1661/AN1937/AN2047/AN10261/AN2129/AN2426/AN2464/AN2489/AN2516/AN2520/AN3448/AN3441/AN3435/AN2755/AN5797/AN5635/AN5619/AN5529
FALSE	TRUE	2	GO:0050793	regulation of developmental process	24	24/1191	AN4953/AN8862/AN8071/AN8282/AN8286/AN4263/AN3913/AN7487/AN6305/AN6578/AN10184/AN0914/AN0316/AN0106/AN1485/AN1558/AN1661/AN1937/AN2516/AN3448/AN3435/AN5797/AN5722/AN5529
FALSE	TRUE	2	GO:0051093	negative regulation of developmental process	4	4/1191	AN4263/AN3913/AN6578/AN3435
FALSE	TRUE	2	GO:0051094	positive regulation of developmental process	7	7/1191	AN4263/AN6305/AN6578/AN10184/AN1661/AN1937/AN3435
FALSE	TRUE	2	GO:0007623	circadian rhythm	6	6/1191	AN4279/AN6305/AN1485/AN1491/AN2129/AN3435
FALSE	TRUE	2	GO:0043902	positive regulation of multi-organism process	14	14/1191	AN4998/AN8044/AN4263/AN3913/AN3583/AN7487/AN7743/AN6312/AN6305/AN5824/AN1661/AN2520/AN3435/AN5791
FALSE	TRUE	2	GO:0044089	positive regulation of cellular component biogenesis	7	7/1191	AN4743/AN7487/AN10956/AN1324/AN1558/AN11175/AN5686
FALSE	TRUE	2	GO:0048584	positive regulation of response to stimulus	12	12/1191	AN3913/AN12478/AN3583/AN6975/AN7487/AN7602/AN6305/AN0931/AN12473/AN11793/AN2246/AN2520
FALSE	TRUE	2	GO:0051050	positive regulation of transport	6	6/1191	AN6978/AN7487/AN6305/AN6578/AN1089/AN0931
FALSE	TRUE	2	GO:1903666	positive regulation of asexual reproduction	5	5/1191	AN6305/AN6578/AN10184/AN1661/AN1937
FALSE	TRUE	2	GO:1903829	positive regulation of cellular protein localization	6	6/1191	AN6978/AN6305/AN6553/AN1089/AN0931/AN0295
FALSE	TRUE	2	GO:1904951	positive regulation of establishment of protein localization	4	4/1191	AN6978/AN6305/AN1089/AN0931
FALSE	TRUE	2	GO:0043433	negative regulation of DNA-binding transcription factor activity	1	1/1191	AN1485
FALSE	TRUE	2	GO:0043901	negative regulation of multi-organism process	5	5/1191	AN3913/AN6305/AN6578/AN10059/AN3441
FALSE	TRUE	2	GO:0048585	negative regulation of response to stimulus	4	4/1191	AN4998/AN4546/AN1377/AN2246
