hasPeak.An_sntB_20h_HA_1	hasPeak.An_sntB_48h_HA_1	group	ID	Description	Count	GeneRatio	geneID
FALSE	TRUE	2	GO:0019222	regulation of metabolic process	122	122/1191	AN10621/AN11773/AN4997/AN4972/AN4953/AN4936/AN4837/AN4546/AN4521/AN4465/AN11131/AN8865/AN8847/AN7951/AN8035/AN8111/AN8182/AN8282/AN4279/AN4175/AN10504/AN3913/AN3879/AN3863/AN3840/AN3769/AN3768/AN3725/AN3683/AN10436/AN3637/AN3598/AN10911/AN7118/AN7104/AN7007/AN6975/AN7423/AN7438/AN7487/AN10956/AN7545/AN7748/AN7819/AN6396/AN6312/AN6305/AN6293/AN6221/AN6091/AN6820/AN6832/AN10854/AN6889/AN11250/AN9293/AN9315/AN9373/AN9395/AN1232/AN1191/AN1179/AN1170/AN1132/AN1039/AN1019/AN0931/AN0914/AN0891/AN0748/AN0576/AN0440/AN0388/AN10059/AN0295/AN0253/AN0197/AN0138/AN0106/AN8930/AN8902/AN8894/AN9424/AN1406/AN1485/AN1491/AN1546/AN11793/AN1867/AN1937/AN2025/AN2129/AN2213/AN2229/AN2246/AN12120/AN2422/AN2426/AN2489/AN9141/AN9096/AN3449/AN3435/AN3369/AN3356/AN3269/AN3101/AN2905/AN2901/AN2854/AN2850/AN2848/AN10336/AN2755/AN8426/AN8473/AN5217/AN5722/AN5691/AN5643/AN5569/AN5342
FALSE	TRUE	2	GO:0019748	secondary metabolic process	22	22/1191	AN4481/AN8078/AN12400/AN10956/AN7819/AN6443/AN6305/AN9244/AN1202/AN1191/AN0609/AN0106/AN10215/AN1598/AN1898/AN1899/AN10297/AN2565/AN3435/AN2850/AN2623/AN5324
FALSE	TRUE	2	GO:0032259	methylation	14	14/1191	AN8282/AN3840/AN1191/AN1170/AN0808/AN0757/AN0685/AN0092/AN2229/AN2426/AN2850/AN2848/AN2759/AN12437
FALSE	TRUE	2	GO:0042440	pigment metabolic process	6	6/1191	AN1403/AN0839/AN1898/AN1899/AN1937/AN5644
FALSE	TRUE	2	GO:0042445	hormone metabolic process	1	1/1191	AN8078
FALSE	TRUE	2	GO:0044237	cellular metabolic process	405	405/1191	AN5060/AN10621/AN11773/AN4997/AN4972/AN4953/AN4936/AN4901/AN4894/AN4869/AN4864/AN4837/AN4830/AN4743/AN4691/AN4684/AN4678/AN4652/AN4613/AN4601/AN4546/AN4521/AN4505/AN4465/AN4430/AN4416/AN4303/AN4298/AN8870/AN11131/AN8867/AN8865/AN8853/AN8848/AN8847/AN8827/AN8793/AN8713/AN8709/AN7951/AN7971/AN8007/AN8035/AN8053/AN8074/AN8078/AN8111/AN8138/AN8149/AN8182/AN8190/AN8191/AN9460/AN8212/AN8272/AN8273/AN8280/AN8282/AN11072/AN8293/AN4279/AN4278/AN4272/AN4271/AN4251/AN4244/AN4175/AN4174/AN4073/AN4057/AN4056/AN4055/AN10504/AN4013/AN3916/AN3913/AN3890/AN3881/AN3879/AN10472/AN3866/AN3863/AN3840/AN3837/AN3824/AN12478/AN3769/AN3768/AN10444/AN10462/AN3745/AN3741/AN3725/AN11411/AN3683/AN10436/AN3666/AN10434/AN3637/AN3626/AN3598/AN3593/AN3531/AN10925/AN12400/AN10911/AN7123/AN7118/AN7104/AN7029/AN7028/AN7019/AN7008/AN7007/AN10877/AN6985/AN12059/AN6975/AN7422/AN7423/AN7428/AN7438/AN7479/AN7487/AN10956/AN7526/AN7545/AN10950/AN7590/AN7604/AN10981/AN7666/AN7701/AN7748/AN7819/AN7847/AN10819/AN6438/AN6396/AN6374/AN6346/AN10800/AN6312/AN6305/AN6297/AN6293/AN6272/AN6251/AN6246/AN6221/AN6202/AN6182/AN6110/AN6091/AN6037/AN5916/AN10740/AN5833/AN5824/AN5812/AN6496/AN6507/AN10824/AN6517/AN6521/AN6525/AN6561/AN6576/AN6577/AN6585/AN6610/AN6639/AN6698/AN6712/AN6713/AN6726/AN6752/AN6820/AN6832/AN10854/AN10855/AN6866/AN6880/AN6889/AN11250/AN6933/AN6968/AN9293/AN9315/AN9373/AN9395/AN1403/AN1376/AN1232/AN1202/AN1198/AN1191/AN1179/AN1175/AN1170/AN1165/AN1132/AN1131/AN1095/AN1092/AN1084/AN1059/AN1039/AN1019/AN0942/AN0931/AN0914/AN0912/AN0891/AN0868/AN0843/AN0840/AN0839/AN0824/AN0816/AN0809/AN0808/AN0757/AN0748/AN0716/AN0687/AN0685/AN0609/AN0576/AN0486/AN0472/AN0465/AN0452/AN0447/AN0445/AN0440/AN0432/AN0423/AN0407/AN0388/AN10059/AN10060/AN0321/AN0295/AN0293/AN0253/AN0252/AN0197/AN0174/AN0144/AN0138/AN0137/AN0106/AN0104/AN0092/AN10007/AN0040/AN8977/AN8953/AN8930/AN8902/AN8894/AN8874/AN9420/AN9424/AN12473/AN1406/AN1407/AN1409/AN1469/AN1485/AN1486/AN1491/AN1502/AN1508/AN10215/AN1523/AN1546/AN1571/AN1663/AN1671/AN1673/AN1731/AN1733/AN1743/AN1777/AN1798/AN1802/AN11793/AN1867/AN1868/AN1874/AN1895/AN1896/AN1897/AN1898/AN1899/AN1904/AN1921/AN1937/AN2002/AN2025/AN2047/AN2129/AN2144/AN2155/AN2163/AN10266/AN2212/AN2213/AN2225/AN2229/AN2240/AN2243/AN2246/AN2256/AN2373/AN12120/AN2422/AN2426/AN2450/AN2451/AN2464/AN2489/AN11962/AN2611/AN9157/AN9141/AN9106/AN9096/AN9094/AN10415/AN3459/AN3449/AN3448/AN3441/AN3435/AN3369/AN3356/AN3313/AN3269/AN3201/AN3169/AN3112/AN3101/AN3031/AN3003/AN2967/AN2947/AN2905/AN2901/AN2860/AN2854/AN2850/AN2848/AN2829/AN2814/AN2796/AN10340/AN2766/AN2759/AN10336/AN2755/AN2623/AN8323/AN8396/AN8401/AN8426/AN8473/AN8545/AN5114/AN5124/AN5133/AN5159/AN5162/AN5178/AN5192/AN5206/AN5217/AN5237/AN10649/AN5797/AN5790/AN5760/AN5722/AN5721/AN5698/AN5691/AN5674/AN5655/AN5646/AN5644/AN5643/AN5635/AN5631/AN5613/AN12437/AN5588/AN5574/AN5569/AN5529/AN5491/AN5342/AN5324/AN5267
FALSE	TRUE	2	GO:0044238	primary metabolic process	413	413/1191	AN5060/AN10621/AN11773/AN4997/AN4972/AN4953/AN4936/AN4901/AN4894/AN4869/AN4864/AN4837/AN4830/AN4825/AN4822/AN4743/AN4691/AN4684/AN4678/AN4652/AN4613/AN4601/AN4546/AN4521/AN4505/AN4465/AN4430/AN4404/AN4303/AN4298/AN8870/AN11131/AN8867/AN8865/AN8853/AN8848/AN8847/AN8827/AN8793/AN8790/AN8713/AN8709/AN7951/AN7971/AN7995/AN8007/AN8035/AN8044/AN8053/AN8074/AN8111/AN8138/AN8149/AN8182/AN8190/AN8191/AN9460/AN8212/AN8272/AN8280/AN8282/AN11072/AN8293/AN4279/AN4278/AN4272/AN4271/AN4251/AN4244/AN4175/AN4073/AN4057/AN4056/AN4055/AN10504/AN4013/AN10502/AN3916/AN3913/AN3890/AN3881/AN3879/AN3866/AN3863/AN3840/AN3837/AN3824/AN12478/AN3769/AN3768/AN10462/AN3745/AN3741/AN3725/AN11411/AN3683/AN10436/AN3666/AN10434/AN3637/AN3636/AN3626/AN3598/AN3593/AN3583/AN3531/AN10929/AN10925/AN7275/AN10911/AN7201/AN7123/AN7118/AN7104/AN7029/AN7028/AN7019/AN7008/AN7007/AN10877/AN6985/AN12059/AN6975/AN7422/AN7423/AN7438/AN7479/AN7487/AN10956/AN7526/AN7545/AN7590/AN7604/AN7666/AN7701/AN7748/AN10819/AN6438/AN6396/AN6382/AN6374/AN6346/AN10800/AN6312/AN6305/AN6293/AN6286/AN6251/AN6221/AN6202/AN6182/AN6110/AN6091/AN6037/AN5916/AN10740/AN10747/AN5833/AN5824/AN5812/AN6496/AN6507/AN10824/AN6517/AN6521/AN6561/AN6576/AN6577/AN6585/AN6610/AN6639/AN6698/AN6712/AN6713/AN6726/AN6751/AN6752/AN6820/AN6832/AN10854/AN10855/AN6866/AN6889/AN11250/AN6933/AN6968/AN9293/AN9315/AN9373/AN9395/AN10184/AN1376/AN1332/AN1232/AN1202/AN1198/AN1191/AN1179/AN1175/AN1170/AN1165/AN1132/AN1103/AN1095/AN1084/AN1039/AN1019/AN0942/AN0931/AN0914/AN0912/AN0891/AN0868/AN0843/AN0840/AN0839/AN0824/AN0816/AN0809/AN0808/AN0757/AN0748/AN0716/AN0687/AN0685/AN0609/AN0576/AN0558/AN0486/AN0472/AN0465/AN0452/AN0445/AN0440/AN0432/AN0423/AN0407/AN0388/AN10059/AN10060/AN0321/AN0295/AN0293/AN0253/AN0252/AN0197/AN0174/AN0144/AN0138/AN0137/AN0106/AN0104/AN0092/AN10007/AN0040/AN8977/AN8953/AN8947/AN8930/AN11143/AN8902/AN8894/AN8890/AN9420/AN9424/AN12473/AN1406/AN1409/AN1418/AN1469/AN1485/AN1486/AN1491/AN1502/AN1508/AN10215/AN1523/AN1546/AN1571/AN1663/AN1671/AN1673/AN1731/AN1733/AN1742/AN1743/AN1772/AN1777/AN1798/AN1802/AN11793/AN1852/AN1867/AN1868/AN1874/AN1895/AN1896/AN1897/AN1898/AN1899/AN1904/AN1921/AN1937/AN2002/AN2025/AN2047/AN2129/AN2155/AN2163/AN10266/AN10274/AN2212/AN2213/AN2225/AN2229/AN2237/AN2240/AN2243/AN2246/AN2256/AN2373/AN12120/AN2422/AN2426/AN2450/AN2451/AN2464/AN2489/AN11962/AN2611/AN9157/AN9141/AN9114/AN9106/AN9096/AN9094/AN10415/AN3449/AN3448/AN3441/AN3435/AN3393/AN3369/AN3360/AN3356/AN3313/AN3269/AN3201/AN3184/AN3169/AN3112/AN3101/AN3031/AN3003/AN2967/AN2947/AN2946/AN2905/AN2901/AN2854/AN2850/AN2848/AN2829/AN2828/AN2796/AN10340/AN2766/AN2759/AN10336/AN2755/AN2664/AN8323/AN8401/AN8426/AN8445/AN8473/AN8545/AN5114/AN5124/AN5133/AN5159/AN5162/AN5178/AN5192/AN5206/AN5217/AN5237/AN10649/AN5797/AN5790/AN5777/AN5760/AN5722/AN5721/AN5698/AN5691/AN5674/AN5655/AN5646/AN5644/AN5643/AN5635/AN5631/AN5619/AN5613/AN12437/AN5588/AN5574/AN5569/AN5529/AN5402/AN5342/AN5267
FALSE	TRUE	2	GO:0044281	small molecule metabolic process	134	134/1191	AN5060/AN4901/AN4830/AN4743/AN4691/AN4465/AN4430/AN8867/AN8793/AN8790/AN8709/AN7995/AN8007/AN8078/AN8138/AN8280/AN4174/AN4056/AN4055/AN3916/AN3913/AN3881/AN10472/AN3866/AN3840/AN3824/AN12478/AN3741/AN3626/AN3598/AN3593/AN3531/AN7028/AN7008/AN6985/AN7479/AN10950/AN7590/AN10981/AN7666/AN6346/AN6293/AN6251/AN6182/AN6037/AN5916/AN5833/AN5812/AN10824/AN6521/AN6525/AN6576/AN6639/AN6752/AN10854/AN6866/AN6880/AN6889/AN6933/AN9315/AN1202/AN1198/AN1191/AN1179/AN1132/AN1059/AN1039/AN0942/AN0912/AN0891/AN0868/AN0840/AN0824/AN0687/AN0609/AN0432/AN0423/AN0388/AN0252/AN0174/AN0137/AN0106/AN0092/AN8977/AN1409/AN10215/AN1523/AN1571/AN1673/AN1731/AN1733/AN1743/AN1868/AN1895/AN1896/AN1897/AN1898/AN1899/AN1921/AN2144/AN2225/AN2229/AN2243/AN9157/AN9114/AN9094/AN3435/AN3313/AN3184/AN3169/AN3112/AN3031/AN2901/AN2860/AN2829/AN2814/AN10340/AN2623/AN8323/AN8396/AN8401/AN8545/AN5162/AN5178/AN5192/AN5206/AN5237/AN5797/AN5790/AN5698/AN5655/AN5646/AN5644/AN5613
FALSE	TRUE	2	GO:0070085	glycosylation	7	7/1191	AN4864/AN4601/AN8848/AN8138/AN6182/AN6610/AN0104
FALSE	TRUE	2	GO:0070988	demethylation	1	1/1191	AN0293
