group	n
G1: LFC >= 2	64
G2: 1 <= LFC < 2	97
G3: 0.5 <= LFC < 1	101
G4: 0 <= LFC < 0.5	106
G5: -0.5 < LFC < 0	132
G6: -1 < LFC <= -0.5	106
G7: -2 < LFC <= -1	144
G8: -2 >= LFC	69
