hasPeak.An_kdmB_20h_HA_1	hasPeak.An_kdmB_48h_HA_1	group	ID	Description	Count	GeneRatio	geneID
FALSE	TRUE	2	GO:0022402	cell cycle process	41	41/1077	AN5057/AN4896/AN4685/AN4601/AN8751/AN8605/AN11059/AN4279/AN4278/AN3735/AN3710/AN3579/AN7104/AN7032/AN7487/AN7678/AN6069/AN5885/AN6578/AN6749/AN1399/AN1324/AN1171/AN1016/AN0988/AN0472/AN0420/AN0253/AN0113/AN1922/AN2141/AN2143/AN2269/AN2426/AN2438/AN2439/AN3090/AN10336/AN5717/AN5635/AN5631
FALSE	TRUE	2	GO:0022406	membrane docking	2	2/1077	AN4167/AN1002
FALSE	TRUE	2	GO:0030029	actin filament-based process	18	18/1077	AN5057/AN4998/AN4743/AN8751/AN4278/AN10515/AN3735/AN7032/AN7487/AN7698/AN5981/AN5803/AN1324/AN1171/AN0163/AN0113/AN2516/AN5648
FALSE	TRUE	2	GO:0032196	transposition	2	2/1077	AN0081/AN2269
FALSE	TRUE	2	GO:0032940	secretion by cell	5	5/1077	AN4281/AN7487/AN1002/AN3470/AN2877
FALSE	TRUE	2	GO:0044764	multi-organism cellular process	16	16/1077	AN4998/AN4685/AN4238/AN3583/AN7252/AN7487/AN7743/AN6487/AN6892/AN1016/AN0472/AN0081/AN2269/AN3090/AN5614/AN12437
FALSE	TRUE	2	GO:0048522	positive regulation of cellular process	36	36/1077	AN5057/AN4998/AN4896/AN4743/AN8751/AN8605/AN8170/AN4238/AN3628/AN3583/AN7252/AN7104/AN7050/AN7487/AN7743/AN6293/AN5981/AN5803/AN6487/AN6578/AN6892/AN6893/AN1324/AN1089/AN1016/AN0988/AN0202/AN0127/AN0106/AN0081/AN1485/AN1922/AN2269/AN11175/AN3090/AN2877
FALSE	TRUE	2	GO:0048523	negative regulation of cellular process	34	34/1077	AN5057/AN4998/AN4783/AN8751/AN8724/AN4279/AN4238/AN3735/AN7545/AN7563/AN6293/AN5981/AN5803/AN6578/AN6749/AN6892/AN1179/AN1016/AN0988/AN0978/AN0974/AN0273/AN0253/AN10019/AN0106/AN0081/AN1485/AN1639/AN2141/AN2143/AN2426/AN2439/AN9116/AN5787
FALSE	TRUE	2	GO:0048869	cellular developmental process	36	36/1077	AN4743/AN4601/AN4332/AN8751/AN8605/AN4238/AN10515/AN7104/AN7032/AN7487/AN7678/AN7687/AN7698/AN6037/AN6578/AN6749/AN1324/AN1171/AN1168/AN1016/AN0988/AN0472/AN0420/AN0106/AN0081/AN1485/AN2269/AN2426/AN2516/AN9116/AN3470/AN3448/AN3090/AN2925/AN5797/AN5635
FALSE	TRUE	2	GO:0050794	regulation of cellular process	129	129/1077	AN5057/AN4998/AN4933/AN4896/AN10606/AN4795/AN4783/AN4743/AN4685/AN12465/AN8751/AN8724/AN8671/AN8645/AN8605/AN7921/AN7951/AN8079/AN8111/AN8164/AN8170/AN4281/AN4279/AN4238/AN10515/AN4175/AN4167/AN4036/AN3934/AN3868/AN3769/AN10444/AN3735/AN3684/AN3683/AN3628/AN3583/AN7252/AN7118/AN7104/AN7050/AN7487/AN7545/AN7563/AN10999/AN7698/AN7743/AN7819/AN6293/AN6218/AN10789/AN5981/AN10761/AN5803/AN6487/AN6578/AN6749/AN6820/AN6832/AN6892/AN6893/AN1404/AN1324/AN1179/AN1171/AN1168/AN10164/AN1089/AN1016/AN0988/AN0978/AN0974/AN0835/AN0748/AN0703/AN0585/AN0568/AN0449/AN0273/AN0253/AN0202/AN0163/AN0127/AN10019/AN0113/AN0112/AN0106/AN0081/AN1406/AN1408/AN10192/AN1485/AN1639/AN1867/AN1922/AN2025/AN2046/AN2141/AN2143/AN2269/AN12120/AN2426/AN2439/AN2474/AN2516/AN9116/AN11165/AN11175/AN9103/AN9096/AN3449/AN3448/AN3438/AN3356/AN3216/AN3120/AN3090/AN2905/AN2901/AN2877/AN9458/AN10336/AN8426/AN8473/AN5797/AN5787/AN5717/AN5691/AN5631
FALSE	TRUE	2	GO:0051301	cell division	16	16/1077	AN5057/AN4685/AN4496/AN8751/AN11059/AN4278/AN4036/AN3735/AN7032/AN7487/AN5885/AN1324/AN1171/AN0988/AN0472/AN0113
FALSE	TRUE	2	GO:0051651	maintenance of location in cell	6	6/1077	AN4685/AN4528/AN8751/AN4279/AN4278/AN7698
FALSE	TRUE	2	GO:0051716	cellular response to stimulus	96	96/1077	AN5057/AN4998/AN4795/AN4783/AN4743/AN4707/AN4685/AN4587/AN4519/AN4467/AN8793/AN8751/AN8681/AN8671/AN8170/AN8218/AN4281/AN4279/AN4277/AN4238/AN4167/AN4036/AN3934/AN3890/AN3829/AN12478/AN3735/AN3592/AN3583/AN7252/AN7104/AN7487/AN7563/AN7590/AN7594/AN10999/AN7698/AN7743/AN6293/AN6069/AN6045/AN5885/AN5865/AN5803/AN6487/AN6543/AN6820/AN6892/AN6893/AN1404/AN1242/AN1168/AN1139/AN1131/AN1016/AN0988/AN0978/AN0797/AN0757/AN0703/AN0595/AN0568/AN0449/AN0432/AN0423/AN0273/AN0163/AN0113/AN0112/AN0106/AN0081/AN1639/AN1731/AN1733/AN1743/AN1769/AN2163/AN2210/AN2212/AN2269/AN2332/AN2439/AN2446/AN2474/AN2516/AN9103/AN3448/AN3438/AN3090/AN10336/AN5787/AN5635/AN5632/AN5593/AN10673/AN5324
FALSE	TRUE	2	GO:0061919	process utilizing autophagic mechanism	6	6/1077	AN4278/AN6351/AN0445/AN0127/AN3470/AN2877
FALSE	TRUE	2	GO:0071554	cell wall organization or biogenesis	24	24/1077	AN8751/AN8007/AN8138/AN8149/AN4167/AN3613/AN3583/AN7032/AN7698/AN7847/AN6293/AN5885/AN6487/AN9389/AN1242/AN1168/AN0472/AN0106/AN8877/AN1554/AN1798/AN2269/AN2516/AN5214
FALSE	TRUE	2	GO:0140029	exocytic process	1	1/1077	AN1002
FALSE	TRUE	2	GO:1990748	cellular detoxification	2	2/1077	AN6045/AN1639
FALSE	TRUE	2	GO:0006808	regulation of nitrogen utilization	1	1/1077	AN10019
FALSE	TRUE	2	GO:0003006	developmental process involved in reproduction	29	29/1077	AN4783/AN4601/AN8751/AN8605/AN4238/AN10515/AN7252/AN7104/AN7487/AN7678/AN7698/AN7743/AN5798/AN6578/AN6749/AN6866/AN1171/AN1016/AN0988/AN0568/AN0472/AN0420/AN0081/AN10192/AN2269/AN2426/AN3090/AN5635/AN5614
FALSE	TRUE	2	GO:0022413	reproductive process in single-celled organism	13	13/1077	AN4685/AN4601/AN8605/AN7104/AN7678/AN7743/AN1171/AN1016/AN0988/AN2269/AN3090/AN5635/AN5614
FALSE	TRUE	2	GO:0032220	plasma membrane fusion involved in cytogamy	1	1/1077	AN5614
FALSE	TRUE	2	GO:0044703	multi-organism reproductive process	31	31/1077	AN4998/AN4783/AN4685/AN4601/AN8751/AN8605/AN4238/AN10515/AN3583/AN7252/AN7104/AN7487/AN7678/AN7743/AN5798/AN6487/AN6578/AN6749/AN6866/AN6892/AN1171/AN1016/AN0988/AN0472/AN0420/AN0081/AN2269/AN2426/AN3090/AN5635/AN5614
FALSE	TRUE	2	GO:0051321	meiotic cell cycle	18	18/1077	AN5057/AN4601/AN8605/AN4279/AN7104/AN7678/AN6578/AN6749/AN1399/AN1171/AN1016/AN0988/AN0472/AN0420/AN2269/AN2426/AN3090/AN5635
FALSE	TRUE	2	GO:0070871	cell wall organization involved in conjugation with cellular fusion	1	1/1077	AN0472
FALSE	TRUE	2	GO:1903046	meiotic cell cycle process	18	18/1077	AN5057/AN4601/AN8605/AN4279/AN7104/AN7678/AN6578/AN6749/AN1399/AN1171/AN1016/AN0988/AN0472/AN0420/AN2269/AN2426/AN3090/AN5635
FALSE	TRUE	2	GO:2000241	regulation of reproductive process	18	18/1077	AN4998/AN8605/AN4279/AN4238/AN3583/AN7252/AN7487/AN7698/AN7743/AN6487/AN6578/AN6749/AN6892/AN1016/AN0988/AN0081/AN2269/AN3090
FALSE	TRUE	2	GO:2000242	negative regulation of reproductive process	5	5/1077	AN4279/AN4238/AN6578/AN6749/AN1016
FALSE	TRUE	2	GO:2000243	positive regulation of reproductive process	13	13/1077	AN4998/AN8605/AN3583/AN7252/AN7487/AN7698/AN7743/AN6487/AN6892/AN1016/AN0081/AN2269/AN3090
FALSE	TRUE	2	GO:0007155	cell adhesion	2	2/1077	AN0797/AN9116
FALSE	TRUE	2	GO:0044406	adhesion of symbiont to host	2	2/1077	AN6487/AN0797
FALSE	TRUE	2	GO:0023051	regulation of signaling	14	14/1077	AN5057/AN4998/AN4238/AN4036/AN3735/AN6892/AN0449/AN0113/AN0112/AN2269/AN3438/AN3090/AN2925/AN5787
FALSE	TRUE	2	GO:0023056	positive regulation of signaling	3	3/1077	AN5057/AN2269/AN3090
FALSE	TRUE	2	GO:0023057	negative regulation of signaling	4	4/1077	AN4998/AN4238/AN6892/AN5787
FALSE	TRUE	2	GO:0007275	multicellular organism development	20	20/1077	AN4783/AN8751/AN4238/AN10515/AN7252/AN7104/AN7487/AN7678/AN7698/AN7743/AN5798/AN6866/AN1171/AN1016/AN0988/AN0568/AN0081/AN10192/AN2269/AN5614
FALSE	TRUE	2	GO:0032922	circadian regulation of gene expression	1	1/1077	AN1485
FALSE	TRUE	2	GO:0051239	regulation of multicellular organismal process	2	2/1077	AN7698/AN0988
FALSE	TRUE	2	GO:0051240	positive regulation of multicellular organismal process	1	1/1077	AN7698
FALSE	TRUE	2	GO:0009653	anatomical structure morphogenesis	30	30/1077	AN4743/AN4601/AN4332/AN8605/AN4238/AN7104/AN7032/AN7487/AN7678/AN7698/AN6578/AN6749/AN1171/AN1168/AN1016/AN0988/AN0472/AN0420/AN0106/AN0081/AN1485/AN2269/AN2426/AN2516/AN3470/AN3448/AN3090/AN5797/AN5635/AN5614
FALSE	TRUE	2	GO:0007568	aging	5	5/1077	AN4238/AN1324/AN1016/AN9116/AN2925
FALSE	TRUE	2	GO:0007571	age-dependent general metabolic decline	1	1/1077	AN4238
FALSE	TRUE	2	GO:0009847	spore germination	7	7/1077	AN4896/AN4238/AN3757/AN5885/AN1242/AN1016/AN2269
FALSE	TRUE	2	GO:0048646	anatomical structure formation involved in morphogenesis	22	22/1077	AN4743/AN4601/AN8605/AN4238/AN7104/AN7032/AN7487/AN7678/AN6578/AN6749/AN1171/AN1016/AN0988/AN0472/AN0420/AN2269/AN2426/AN3470/AN3448/AN3090/AN5635/AN5614
FALSE	TRUE	2	GO:0043934	sporulation	27	27/1077	AN4601/AN8751/AN8605/AN4238/AN10515/AN7104/AN7032/AN7678/AN7687/AN6037/AN6578/AN6749/AN1324/AN1171/AN1168/AN1016/AN0988/AN0472/AN0420/AN0081/AN1485/AN2269/AN2426/AN3470/AN3448/AN3090/AN5635
FALSE	TRUE	2	GO:0044111	development involved in symbiotic interaction	2	2/1077	AN4238/AN3583
FALSE	TRUE	2	GO:0048856	anatomical structure development	42	42/1077	AN4783/AN4743/AN4601/AN4332/AN8751/AN8605/AN4238/AN10515/AN7252/AN7104/AN7032/AN7487/AN7678/AN7687/AN7698/AN7743/AN6037/AN5798/AN6578/AN6749/AN6866/AN1324/AN1171/AN1168/AN1016/AN0988/AN0568/AN0472/AN0420/AN0106/AN0081/AN10192/AN1485/AN2269/AN2426/AN2516/AN3470/AN3448/AN3090/AN5797/AN5635/AN5614
FALSE	TRUE	2	GO:0050793	regulation of developmental process	16	16/1077	AN4896/AN7487/AN7698/AN6578/AN6749/AN1171/AN1016/AN0988/AN0106/AN0081/AN1485/AN2269/AN2516/AN3448/AN3090/AN5797
FALSE	TRUE	2	GO:0051093	negative regulation of developmental process	4	4/1077	AN6578/AN6749/AN1016/AN0081
FALSE	TRUE	2	GO:0051094	positive regulation of developmental process	2	2/1077	AN7698/AN6578
FALSE	TRUE	2	GO:0007623	circadian rhythm	5	5/1077	AN4783/AN4279/AN3933/AN1485/AN5593
FALSE	TRUE	2	GO:0043902	positive regulation of multi-organism process	11	11/1077	AN4998/AN3583/AN7252/AN7487/AN7743/AN6487/AN6892/AN1016/AN0081/AN2269/AN3090
FALSE	TRUE	2	GO:0044089	positive regulation of cellular component biogenesis	8	8/1077	AN5057/AN4743/AN8751/AN7487/AN5981/AN5803/AN1324/AN11175
FALSE	TRUE	2	GO:0048584	positive regulation of response to stimulus	8	8/1077	AN5057/AN4238/AN12478/AN3583/AN7487/AN1016/AN2269/AN3090
FALSE	TRUE	2	GO:0051050	positive regulation of transport	4	4/1077	AN8751/AN7487/AN6578/AN1089
FALSE	TRUE	2	GO:1903666	positive regulation of asexual reproduction	1	1/1077	AN6578
FALSE	TRUE	2	GO:1903829	positive regulation of cellular protein localization	1	1/1077	AN1089
FALSE	TRUE	2	GO:1904951	positive regulation of establishment of protein localization	1	1/1077	AN1089
FALSE	TRUE	2	GO:0043433	negative regulation of DNA-binding transcription factor activity	2	2/1077	AN1485/AN1639
FALSE	TRUE	2	GO:0043901	negative regulation of multi-organism process	4	4/1077	AN4238/AN6578/AN6749/AN1016
FALSE	TRUE	2	GO:0048585	negative regulation of response to stimulus	6	6/1077	AN4998/AN4238/AN6892/AN0978/AN0273/AN5787
FALSE	TRUE	2	GO:0051051	negative regulation of transport	1	1/1077	AN4279
FALSE	TRUE	2	GO:1903665	negative regulation of asexual reproduction	2	2/1077	AN1016/AN0081
FALSE	TRUE	2	GO:1903828	negative regulation of cellular protein localization	3	3/1077	AN8751/AN4279/AN5631
FALSE	TRUE	2	GO:1904950	negative regulation of establishment of protein localization	1	1/1077	AN4279
FALSE	TRUE	2	GO:0032879	regulation of localization	11	11/1077	AN5057/AN8751/AN4279/AN4238/AN10515/AN7487/AN6578/AN1324/AN1089/AN0568/AN5631
FALSE	TRUE	2	GO:0042752	regulation of circadian rhythm	5	5/1077	AN4783/AN4279/AN3933/AN1485/AN5593
FALSE	TRUE	2	GO:0043900	regulation of multi-organism process	15	15/1077	AN4998/AN4238/AN3583/AN7252/AN7487/AN7743/AN6487/AN6578/AN6749/AN6892/AN1016/AN0988/AN0081/AN2269/AN3090
FALSE	TRUE	2	GO:0044087	regulation of cellular component biogenesis	13	13/1077	AN5057/AN4743/AN8751/AN4238/AN7487/AN5981/AN5803/AN1324/AN0703/AN0106/AN1408/AN2516/AN11175
FALSE	TRUE	2	GO:0048518	positive regulation of biological process	40	40/1077	AN5057/AN4998/AN4933/AN4896/AN4743/AN8751/AN8645/AN8605/AN8170/AN4238/AN12478/AN3628/AN3583/AN7252/AN7104/AN7050/AN7487/AN7698/AN7743/AN6293/AN5981/AN5803/AN6487/AN6578/AN6892/AN6893/AN1324/AN1089/AN1016/AN0988/AN0202/AN0127/AN0106/AN0081/AN1485/AN1922/AN2269/AN11175/AN3090/AN2877
FALSE	TRUE	2	GO:0048519	negative regulation of biological process	39	39/1077	AN5057/AN4998/AN4783/AN8751/AN8724/AN4279/AN4238/AN3735/AN10929/AN7545/AN7563/AN6293/AN5981/AN5803/AN6578/AN6749/AN6892/AN6893/AN11250/AN1179/AN10164/AN1016/AN0988/AN0978/AN0974/AN0273/AN0253/AN10019/AN0106/AN0081/AN1485/AN1639/AN2141/AN2143/AN2426/AN2439/AN9116/AN5787/AN5631
FALSE	TRUE	2	GO:0048583	regulation of response to stimulus	20	20/1077	AN5057/AN4998/AN4238/AN4036/AN12478/AN3735/AN3583/AN7487/AN6892/AN1016/AN0978/AN0568/AN0449/AN0273/AN0113/AN0112/AN2269/AN3438/AN3090/AN5787
FALSE	TRUE	2	GO:1903664	regulation of asexual reproduction	3	3/1077	AN6578/AN1016/AN0081
FALSE	TRUE	2	GO:0006950	response to stress	53	53/1077	AN5057/AN4783/AN4685/AN4587/AN4519/AN4467/AN8681/AN8671/AN8170/AN4279/AN4238/AN10515/AN3890/AN3829/AN12478/AN3592/AN3583/AN7104/AN7563/AN7678/AN7698/AN6293/AN6069/AN6045/AN5803/AN6543/AN6892/AN6893/AN1131/AN1016/AN0988/AN0978/AN0757/AN0432/AN0423/AN0273/AN0163/AN10019/AN1639/AN1731/AN1733/AN1769/AN2163/AN2212/AN2269/AN2446/AN2516/AN9103/AN3448/AN10336/AN5635/AN10673/AN5324
FALSE	TRUE	2	GO:0009605	response to external stimulus	23	23/1077	AN5057/AN4783/AN4685/AN8681/AN4238/AN12478/AN3735/AN3592/AN3583/AN7104/AN6293/AN6487/AN6893/AN1168/AN1131/AN1016/AN0988/AN0978/AN0163/AN0081/AN1731/AN1733/AN5635
FALSE	TRUE	2	GO:0009607	response to biotic stimulus	16	16/1077	AN5057/AN4685/AN12465/AN12478/AN3583/AN7487/AN7698/AN6293/AN6487/AN6892/AN12408/AN1131/AN1016/AN0568/AN0163/AN2516
FALSE	TRUE	2	GO:0009628	response to abiotic stimulus	24	24/1077	AN5057/AN4783/AN4685/AN4467/AN4238/AN3735/AN3592/AN3583/AN7104/AN7698/AN6293/AN6892/AN1168/AN1016/AN0423/AN10019/AN1485/AN1769/AN2269/AN2446/AN5635/AN5593/AN10673/AN5324
FALSE	TRUE	2	GO:0009719	response to endogenous stimulus	1	1/1077	AN5057
FALSE	TRUE	2	GO:0042221	response to chemical	51	51/1077	AN4707/AN4478/AN4467/AN8793/AN8218/AN4281/AN4277/AN4238/AN3829/AN12478/AN7487/AN7590/AN7594/AN7698/AN7743/AN6293/AN6045/AN5885/AN5865/AN5803/AN6543/AN6892/AN1404/AN1242/AN1139/AN1131/AN1016/AN0988/AN0797/AN0757/AN0703/AN0595/AN0581/AN0568/AN0432/AN0423/AN0273/AN0081/AN9010/AN1639/AN1743/AN2210/AN2212/AN2269/AN2332/AN2349/AN9103/AN3090/AN5635/AN5632/AN5324
FALSE	TRUE	2	GO:0051606	detection of stimulus	1	1/1077	AN1016
FALSE	TRUE	2	GO:0031503	protein-containing complex localization	6	6/1077	AN5057/AN7487/AN5865/AN11250/AN1245/AN2210
FALSE	TRUE	2	GO:0033036	macromolecule localization	46	46/1077	AN5057/AN4743/AN4685/AN4528/AN8751/AN11072/AN4281/AN4279/AN4278/AN4238/AN4167/AN3934/AN7047/AN7487/AN7687/AN6351/AN6334/AN5879/AN5865/AN5812/AN11250/AN1324/AN1245/AN1179/AN1089/AN1068/AN1059/AN1014/AN0906/AN0127/AN0112/AN10215/AN1638/AN12305/AN2142/AN2143/AN2210/AN2438/AN2439/AN2474/AN3470/AN2925/AN2877/AN5717/AN5632/AN5631
FALSE	TRUE	2	GO:0036214	contractile ring localization	1	1/1077	AN4278
FALSE	TRUE	2	GO:0051234	establishment of localization	126	126/1077	AN5057/AN11774/AN11770/AN4904/AN4743/AN4478/AN11138/AN8814/AN8813/AN8791/AN8762/AN8751/AN8084/AN8150/AN4287/AN4281/AN4279/AN4277/AN10515/AN4167/AN4036/AN4019/AN3988/AN3934/AN10487/AN3915/AN3710/AN3589/AN3579/AN7351/AN7344/AN7272/AN7167/AN7047/AN7487/AN7545/AN7547/AN7648/AN10999/AN10982/AN7687/AN6351/AN6334/AN6127/AN6107/AN6088/AN6045/AN5879/AN5865/AN5803/AN6578/AN10845/AN6770/AN6778/AN6779/AN6782/AN11250/AN11209/AN1245/AN1179/AN1168/AN1110/AN1109/AN1089/AN1068/AN1059/AN1014/AN1002/AN10135/AN0906/AN0703/AN0581/AN0568/AN0420/AN10075/AN12074/AN0253/AN0252/AN0218/AN0201/AN0127/AN0112/AN9010/AN8955/AN8912/AN8877/AN10215/AN1681/AN12305/AN1788/AN2043/AN2142/AN10267/AN2210/AN2218/AN2344/AN2349/AN2438/AN2465/AN2468/AN2474/AN2516/AN9107/AN3470/AN3341/AN3220/AN3195/AN3062/AN2977/AN2925/AN2910/AN2877/AN9456/AN5763/AN5743/AN5742/AN5734/AN5717/AN5632/AN5614/AN5596/AN5485/AN5356/AN10662/AN5323/AN5302
FALSE	TRUE	2	GO:0051235	maintenance of location	7	7/1077	AN4685/AN4528/AN8751/AN11072/AN4279/AN4278/AN7698
FALSE	TRUE	2	GO:0051641	cellular localization	61	61/1077	AN5057/AN4743/AN4685/AN4528/AN8751/AN4281/AN4279/AN4278/AN4167/AN3934/AN3735/AN3710/AN3589/AN7047/AN7487/AN7545/AN7547/AN7687/AN7698/AN6351/AN6334/AN6045/AN5879/AN5865/AN5812/AN5803/AN6892/AN11250/AN1245/AN1179/AN1168/AN1089/AN1068/AN1059/AN1002/AN10135/AN0906/AN0703/AN0420/AN0253/AN0127/AN0112/AN10215/AN1638/AN12305/AN2142/AN2143/AN2210/AN2438/AN2439/AN2474/AN2516/AN3470/AN3062/AN2925/AN2877/AN5717/AN5632/AN5631/AN5614/AN5485
FALSE	TRUE	2	GO:0051707	response to other organism	4	4/1077	AN12478/AN3583/AN6487/AN1131
FALSE	TRUE	2	GO:0044419	interspecies interaction between organisms	21	21/1077	AN4685/AN4238/AN12478/AN3735/AN3583/AN7050/AN7032/AN7487/AN6293/AN5885/AN5803/AN6487/AN6892/AN1242/AN1131/AN1016/AN0797/AN10057/AN0253/AN1502/AN2516
FALSE	TRUE	2	GO:0051703	intraspecies interaction between organisms	1	1/1077	AN12437
FALSE	TRUE	2	GO:0050789	regulation of biological process	136	136/1077	AN5057/AN4998/AN4933/AN4896/AN10606/AN4795/AN4783/AN4743/AN4685/AN12465/AN8751/AN8724/AN8671/AN8645/AN8605/AN7921/AN7951/AN8079/AN8111/AN8164/AN8170/AN4281/AN4279/AN4238/AN10515/AN4175/AN4167/AN4036/AN3934/AN3933/AN3868/AN12478/AN3769/AN10444/AN3735/AN3684/AN3683/AN3628/AN3583/AN10929/AN7252/AN7118/AN7104/AN7050/AN7487/AN7545/AN7563/AN10999/AN7698/AN7743/AN7819/AN6293/AN6218/AN10789/AN5981/AN10761/AN5803/AN6487/AN6578/AN6749/AN6820/AN6832/AN6892/AN6893/AN11250/AN1404/AN1324/AN1179/AN1171/AN1168/AN10164/AN1089/AN1016/AN0988/AN0978/AN0974/AN0835/AN0748/AN0703/AN0585/AN0568/AN0449/AN0273/AN0253/AN0202/AN0163/AN0127/AN10019/AN0113/AN0112/AN0106/AN0081/AN1406/AN1408/AN10192/AN1485/AN1639/AN1867/AN1922/AN2025/AN2046/AN2141/AN2143/AN2269/AN12120/AN2426/AN2439/AN2474/AN2516/AN9116/AN11165/AN11175/AN9103/AN9096/AN3449/AN3448/AN3438/AN3356/AN3216/AN3120/AN3090/AN2925/AN2905/AN2901/AN2877/AN2850/AN9458/AN10336/AN8426/AN8473/AN5797/AN5787/AN5717/AN5691/AN5631/AN5593
FALSE	TRUE	2	GO:0065008	regulation of biological quality	39	39/1077	AN4743/AN4685/AN12465/AN4528/AN4478/AN4332/AN8791/AN8751/AN8671/AN11072/AN4279/AN4278/AN4238/AN4167/AN3829/AN10444/AN7487/AN7666/AN7698/AN6293/AN6107/AN6045/AN5981/AN5803/AN1324/AN1171/AN1168/AN10164/AN1016/AN0703/AN10019/AN0106/AN1485/AN1639/AN2141/AN2516/AN9103/AN2977/AN5614
FALSE	TRUE	2	GO:0065009	regulation of molecular function	15	15/1077	AN4998/AN10497/AN3735/AN5803/AN6892/AN1168/AN1016/AN0988/AN0420/AN1485/AN1639/AN2143/AN2269/AN3090/AN2877
FALSE	TRUE	2	GO:0044085	cellular component biogenesis	51	51/1077	AN5057/AN4743/AN4707/AN4601/AN4475/AN8751/AN8671/AN8170/AN11072/AN8293/AN4238/AN10515/AN7032/AN7424/AN7487/AN7545/AN7561/AN7698/AN6334/AN6297/AN5981/AN5885/AN5865/AN5803/AN6893/AN11250/AN10865/AN1324/AN1245/AN1175/AN10164/AN10139/AN1002/AN0703/AN0421/AN0420/AN0113/AN0106/AN1407/AN1408/AN1469/AN1554/AN1798/AN2210/AN2426/AN2516/AN11175/AN3470/AN3062/AN2759/AN5702
TRUE	FALSE	3	GO:0019953	sexual reproduction	25	25/841	AN4887/AN4632/AN8672/AN7993/AN8071/AN4052/AN3813/AN6340/AN6231/AN6197/AN6046/AN6505/AN6542/AN1376/AN1267/AN1222/AN0055/AN1475/AN10193/AN1661/AN10223/AN1967/AN2419/AN2555/AN5211
TRUE	FALSE	3	GO:0019954	asexual reproduction	22	22/841	AN4887/AN4706/AN4674/AN4632/AN4394/AN8071/AN7542/AN7683/AN6341/AN6197/AN6046/AN6898/AN1267/AN0055/AN10193/AN1661/AN1967/AN2306/AN3441/AN2687/AN5726/AN5529
TRUE	FALSE	3	GO:0022414	reproductive process	36	36/841	AN4940/AN4887/AN4632/AN8672/AN7993/AN8071/AN4052/AN3946/AN3813/AN7423/AN6340/AN6231/AN6197/AN6046/AN6505/AN6542/AN1376/AN1267/AN1222/AN10063/AN0055/AN1475/AN10193/AN1661/AN10223/AN1967/AN2148/AN2172/AN2419/AN2555/AN3118/AN2667/AN8547/AN5105/AN5211/AN5529
TRUE	FALSE	3	GO:0032505	reproduction of a single-celled organism	9	9/841	AN4887/AN4632/AN7993/AN8071/AN6542/AN1267/AN10193/AN1661/AN2419
TRUE	FALSE	3	GO:0055114	oxidation-reduction process	91	91/841	AN4888/AN4793/AN4774/AN10586/AN4755/AN10585/AN4592/AN4525/AN4336/AN7922/AN7953/AN11045/AN8041/AN8206/AN8283/AN10527/AN12101/AN4135/AN3958/AN3954/AN3813/AN3759/AN3638/AN3581/AN7293/AN7274/AN10893/AN7500/AN7632/AN7708/AN11008/AN7832/AN6400/AN6394/AN10793/AN6215/AN6168/AN6092/AN5959/AN5846/AN6506/AN6658/AN6963/AN9296/AN9308/AN1301/AN1007/AN1006/AN0839/AN0818/AN0775/AN0774/AN0623/AN0357/AN0158/AN9004/AN8907/AN1510/AN1541/AN1598/AN10223/AN1901/AN1915/AN1967/AN1986/AN2286/AN2306/AN10290/AN2314/AN2316/AN10296/AN2470/AN11347/AN9066/AN3394/AN3239/AN3030/AN2967/AN2960/AN2727/AN2704/AN2666/AN2648/AN8346/AN8406/AN8547/AN5613/AN5497/AN5338/AN5276/AN5257
