hasPeak.An_kdmB_20h_HA_1	hasPeak.An_kdmB_48h_HA_1	group	ID	Description	Count	GeneRatio	geneID
FALSE	TRUE	2	GO:0019222	regulation of metabolic process	82	82/1077	AN4933/AN10606/AN4783/AN8751/AN8724/AN8671/AN8645/AN7921/AN7951/AN8079/AN8111/AN8164/AN8170/AN4279/AN4238/AN4175/AN3868/AN3769/AN3684/AN3683/AN3628/AN7252/AN7118/AN7104/AN7050/AN7487/AN7545/AN7819/AN6293/AN6218/AN10789/AN10761/AN6749/AN6820/AN6832/AN6892/AN6893/AN11250/AN1179/AN1168/AN10164/AN1016/AN0988/AN0978/AN0974/AN0835/AN0748/AN0585/AN0568/AN0253/AN0202/AN10019/AN0106/AN0081/AN1406/AN10192/AN1485/AN1639/AN1867/AN2025/AN2046/AN2141/AN2269/AN12120/AN2426/AN9116/AN11165/AN9096/AN3449/AN3356/AN3216/AN3120/AN3090/AN2905/AN2901/AN2877/AN2850/AN9458/AN10336/AN8426/AN8473/AN5691
FALSE	TRUE	2	GO:0019748	secondary metabolic process	36	36/1077	AN4948/AN4933/AN8645/AN7901/AN7998/AN12402/AN8218/AN7252/AN7084/AN7811/AN7819/AN7821/AN6447/AN6431/AN5885/AN6749/AN1242/AN1202/AN1035/AN0147/AN0106/AN0081/AN9005/AN10215/AN1601/AN1680/AN1898/AN1899/AN2269/AN10297/AN3380/AN2924/AN2850/AN2623/AN8518/AN5324
FALSE	TRUE	2	GO:0032259	methylation	6	6/1077	AN8066/AN0757/AN2426/AN2850/AN2759/AN12437
FALSE	TRUE	2	GO:0042440	pigment metabolic process	6	6/1077	AN5905/AN5885/AN1403/AN1898/AN1899/AN5644
FALSE	TRUE	2	GO:0044237	cellular metabolic process	324	324/1077	AN5060/AN5057/AN4949/AN4948/AN4933/AN4896/AN10606/AN4809/AN4783/AN4743/AN4707/AN4697/AN4652/AN4601/AN4587/AN4520/AN4519/AN4475/AN4468/AN4467/AN4452/AN4372/AN4332/AN8867/AN8843/AN8793/AN8751/AN8724/AN8681/AN8680/AN8671/AN8645/AN8611/AN8605/AN7890/AN7921/AN7951/AN7997/AN7998/AN12402/AN8007/AN8046/AN8066/AN8074/AN8079/AN8111/AN8138/AN8149/AN8164/AN8170/AN8176/AN11059/AN8218/AN8280/AN11072/AN8288/AN8293/AN4279/AN4278/AN4244/AN4238/AN10515/AN4175/AN4058/AN4055/AN10497/AN4013/AN3933/AN3928/AN3916/AN3890/AN3868/AN3867/AN3829/AN12478/AN3769/AN10444/AN3756/AN3741/AN3684/AN3683/AN3628/AN3613/AN3593/AN10937/AN7358/AN10903/AN7123/AN7118/AN7115/AN7104/AN7084/AN7050/AN7032/AN7019/AN7424/AN7487/AN7545/AN7563/AN10950/AN7590/AN7621/AN7666/AN7678/AN10991/AN7725/AN7819/AN7847/AN10819/AN6438/AN6384/AN6351/AN6346/AN6329/AN6297/AN6293/AN6251/AN6218/AN10780/AN10789/AN6192/AN6182/AN6110/AN6069/AN6045/AN6037/AN6035/AN5990/AN10761/AN5909/AN5905/AN5885/AN5865/AN5833/AN5812/AN6543/AN6604/AN6653/AN6675/AN6698/AN6712/AN6713/AN6749/AN6752/AN6768/AN6820/AN6832/AN6866/AN6880/AN6892/AN6893/AN11250/AN10864/AN10865/AN10869/AN6968/AN9389/AN9390/AN1403/AN12429/AN1242/AN1202/AN1179/AN1175/AN1172/AN1171/AN1168/AN1165/AN1140/AN1131/AN1123/AN10164/AN1068/AN1059/AN10139/AN1035/AN1016/AN1003/AN0988/AN0978/AN0974/AN10131/AN0942/AN0835/AN10124/AN0797/AN0757/AN0748/AN0649/AN0595/AN0585/AN0581/AN0579/AN0568/AN0567/AN0486/AN0484/AN0472/AN0445/AN0432/AN0423/AN0421/AN0395/AN10060/AN0321/AN0253/AN0252/AN0202/AN0174/AN0147/AN0127/AN10019/AN0106/AN0081/AN0070/AN10007/AN8977/AN8883/AN1406/AN1407/AN1409/AN10192/AN1469/AN1485/AN1502/AN1508/AN10215/AN1554/AN1571/AN1638/AN1639/AN1671/AN1673/AN1680/AN1731/AN1733/AN1743/AN1769/AN1798/AN1809/AN1867/AN1868/AN1896/AN1897/AN1898/AN1899/AN1921/AN2025/AN2046/AN12489/AN2141/AN2144/AN2163/AN2212/AN2243/AN2256/AN2268/AN2269/AN2331/AN2332/AN2373/AN12120/AN2410/AN2426/AN2446/AN2528/AN11962/AN9157/AN9116/AN11165/AN9106/AN9096/AN9094/AN11183/AN3470/AN3449/AN3448/AN3380/AN10396/AN3356/AN3216/AN3201/AN3120/AN3119/AN3090/AN2999/AN2988/AN2925/AN2910/AN2905/AN2901/AN2877/AN11684/AN2860/AN2850/AN2829/AN9458/AN2796/AN2759/AN10336/AN12316/AN2661/AN2623/AN8323/AN8426/AN8473/AN12256/AN8545/AN5214/AN10649/AN5797/AN5743/AN5691/AN5655/AN5646/AN5644/AN5635/AN5631/AN12437/AN5593/AN10673/AN5356/AN5324/AN5309
FALSE	TRUE	2	GO:0044238	primary metabolic process	327	327/1077	AN5060/AN5057/AN4949/AN4933/AN4896/AN10606/AN4825/AN4809/AN4783/AN4743/AN4707/AN4697/AN4652/AN4601/AN4587/AN4520/AN4519/AN4475/AN4468/AN4467/AN4452/AN4372/AN4332/AN10540/AN8867/AN8843/AN8793/AN8790/AN8751/AN8743/AN8724/AN8681/AN8680/AN8671/AN8645/AN8611/AN8605/AN7890/AN7921/AN7951/AN7962/AN7997/AN12402/AN8007/AN8046/AN8066/AN8074/AN8079/AN8111/AN8138/AN8149/AN8164/AN8170/AN8176/AN11059/AN8280/AN11072/AN8288/AN8293/AN4286/AN4279/AN4278/AN4244/AN4238/AN10515/AN4175/AN4058/AN4055/AN10497/AN4013/AN3959/AN3933/AN3916/AN10482/AN3890/AN3868/AN3867/AN3829/AN12478/AN3769/AN3756/AN3741/AN3733/AN3684/AN3683/AN3628/AN3613/AN3593/AN3583/AN7396/AN10937/AN7358/AN10929/AN10903/AN10900/AN7123/AN7118/AN7115/AN7104/AN10887/AN7050/AN7032/AN7019/AN7424/AN7487/AN7545/AN7563/AN7590/AN7666/AN7678/AN7725/AN10819/AN6438/AN6384/AN6382/AN6346/AN6329/AN6293/AN6251/AN6218/AN10780/AN10789/AN6192/AN6182/AN6110/AN6069/AN6037/AN6035/AN5990/AN10761/AN5909/AN5905/AN5885/AN5865/AN5833/AN5812/AN6487/AN6518/AN6543/AN6604/AN6653/AN6675/AN6698/AN6712/AN6713/AN6751/AN6752/AN6768/AN6820/AN6832/AN6866/AN6888/AN6892/AN6893/AN11250/AN10865/AN10869/AN6968/AN9390/AN12429/AN1332/AN1202/AN1197/AN1179/AN1175/AN1172/AN1171/AN1168/AN1165/AN1123/AN10164/AN1068/AN10139/AN1016/AN1003/AN0988/AN0978/AN0974/AN0963/AN10131/AN0942/AN0835/AN10124/AN0797/AN0779/AN0757/AN0748/AN0649/AN0585/AN0579/AN0568/AN0567/AN0486/AN0484/AN0472/AN0445/AN0432/AN0423/AN0421/AN10060/AN0338/AN0321/AN0253/AN0252/AN0245/AN0202/AN0174/AN0127/AN10019/AN0106/AN0070/AN10007/AN8977/AN8883/AN1406/AN1409/AN1426/AN10192/AN1469/AN1485/AN1502/AN1508/AN10215/AN1554/AN1571/AN1638/AN1639/AN1671/AN1673/AN1680/AN1731/AN1733/AN1742/AN1743/AN1769/AN1772/AN1792/AN1798/AN1809/AN1852/AN1867/AN1868/AN1896/AN1897/AN1898/AN1899/AN1921/AN2025/AN2046/AN12489/AN2141/AN2163/AN2194/AN10274/AN2212/AN2243/AN2256/AN2268/AN2269/AN2325/AN2331/AN2332/AN2373/AN12120/AN2426/AN2446/AN2528/AN11962/AN9157/AN9116/AN11165/AN9106/AN9096/AN9094/AN11183/AN3470/AN3449/AN3448/AN3393/AN3380/AN10396/AN3356/AN3216/AN3201/AN3200/AN3120/AN3090/AN2999/AN2946/AN2925/AN2910/AN2905/AN2901/AN2877/AN11684/AN2850/AN2829/AN2828/AN9458/AN2796/AN2759/AN10336/AN12316/AN2664/AN2661/AN8323/AN8426/AN8445/AN8473/AN12256/AN8545/AN5214/AN10649/AN5797/AN5691/AN5655/AN5646/AN5644/AN5635/AN5631/AN12437/AN5593/AN10673/AN5414/AN5402/AN5356/AN5309
FALSE	TRUE	2	GO:0044281	small molecule metabolic process	112	112/1077	AN5060/AN4809/AN4743/AN4372/AN8867/AN8843/AN8793/AN8790/AN8611/AN7890/AN7998/AN12402/AN8007/AN8138/AN8280/AN4058/AN4055/AN3928/AN3916/AN3829/AN12478/AN3741/AN3733/AN3613/AN3593/AN7358/AN10903/AN7115/AN7084/AN7050/AN10950/AN7590/AN7666/AN10991/AN7725/AN6384/AN6346/AN6293/AN6251/AN6182/AN6037/AN5990/AN5909/AN5833/AN5812/AN6653/AN6752/AN6866/AN6880/AN1202/AN1179/AN1140/AN1059/AN1035/AN1016/AN1003/AN10131/AN0942/AN10124/AN0797/AN0649/AN0567/AN0484/AN0432/AN0423/AN0252/AN0202/AN0174/AN0147/AN0106/AN0070/AN8977/AN1409/AN10215/AN1571/AN1639/AN1673/AN1731/AN1733/AN1743/AN1769/AN1809/AN1868/AN1896/AN1897/AN1898/AN1899/AN1921/AN2144/AN2243/AN2332/AN9157/AN9116/AN9094/AN3380/AN10396/AN2999/AN2925/AN2910/AN2901/AN2860/AN2829/AN12316/AN2623/AN8323/AN12256/AN8545/AN5797/AN5655/AN5646/AN5644/AN5356
FALSE	TRUE	2	GO:0070085	glycosylation	3	3/1077	AN4601/AN8138/AN6182
FALSE	TRUE	2	GO:0071704	organic substance metabolic process	355	355/1077	AN5060/AN5057/AN4949/AN4933/AN4896/AN10606/AN4825/AN4809/AN4783/AN4743/AN4707/AN4697/AN4652/AN4601/AN4587/AN4520/AN4519/AN4475/AN4468/AN4467/AN4452/AN4372/AN4332/AN10540/AN8867/AN8843/AN8793/AN8790/AN8751/AN8743/AN8724/AN8681/AN8680/AN8671/AN8645/AN8611/AN8605/AN7890/AN7921/AN7951/AN7962/AN7997/AN7998/AN12402/AN8007/AN8046/AN8066/AN8074/AN8079/AN8111/AN8138/AN8149/AN8164/AN8170/AN8176/AN11059/AN8218/AN8280/AN11072/AN8288/AN8293/AN4286/AN4279/AN4278/AN4244/AN4238/AN10515/AN4175/AN4058/AN4055/AN10497/AN4013/AN3959/AN3933/AN3928/AN3916/AN10482/AN3890/AN3868/AN3867/AN3829/AN12478/AN3769/AN10444/AN3756/AN3741/AN3733/AN3684/AN3683/AN3628/AN3613/AN3593/AN3583/AN7396/AN10937/AN7358/AN10929/AN10903/AN10900/AN7123/AN7118/AN7115/AN7104/AN7084/AN10887/AN7050/AN7032/AN7019/AN7424/AN7487/AN7545/AN7563/AN10950/AN7590/AN7621/AN7666/AN7678/AN10991/AN7725/AN7819/AN7847/AN10819/AN6438/AN6384/AN6382/AN6346/AN6329/AN6293/AN6251/AN6218/AN10780/AN10789/AN6192/AN6182/AN6110/AN6069/AN6037/AN6035/AN5990/AN10761/AN5909/AN5905/AN5885/AN5865/AN5833/AN5812/AN6487/AN6518/AN6543/AN6604/AN6653/AN6675/AN6698/AN6712/AN6713/AN6749/AN6751/AN6752/AN6768/AN6820/AN6832/AN6866/AN6880/AN6888/AN6892/AN6893/AN11250/AN10865/AN10869/AN6968/AN9389/AN9390/AN1403/AN12429/AN1332/AN1245/AN1242/AN1202/AN1197/AN1179/AN1175/AN1172/AN1171/AN1168/AN1165/AN1140/AN1123/AN10164/AN1068/AN1059/AN10139/AN1035/AN1016/AN1003/AN0988/AN0978/AN0974/AN0963/AN10131/AN0942/AN0835/AN10124/AN0797/AN0779/AN0757/AN0748/AN0649/AN0585/AN0581/AN0579/AN0568/AN0567/AN0486/AN0484/AN0472/AN0445/AN0432/AN0423/AN0421/AN10060/AN0338/AN0321/AN0253/AN0252/AN0245/AN0202/AN0174/AN0147/AN0127/AN10019/AN0106/AN0081/AN0070/AN10007/AN8977/AN8883/AN1406/AN1409/AN1426/AN10192/AN1469/AN1485/AN1502/AN1508/AN10215/AN1554/AN1571/AN1638/AN1639/AN1671/AN1673/AN1680/AN1731/AN1733/AN1742/AN1743/AN1769/AN1772/AN1792/AN1798/AN1809/AN1852/AN1867/AN1868/AN1896/AN1897/AN1898/AN1899/AN1921/AN2025/AN2046/AN12489/AN2141/AN2144/AN2163/AN2194/AN10274/AN2212/AN2243/AN2256/AN2268/AN2269/AN2325/AN2331/AN2332/AN2373/AN12120/AN2426/AN2446/AN2528/AN11962/AN9157/AN9116/AN11165/AN9106/AN9096/AN9094/AN11183/AN3470/AN3449/AN3448/AN3393/AN3380/AN10396/AN3356/AN3216/AN3201/AN3200/AN3120/AN3090/AN2999/AN2988/AN2946/AN2925/AN2910/AN2905/AN2901/AN2877/AN11684/AN2860/AN2850/AN2829/AN2828/AN9458/AN2796/AN2759/AN10336/AN12316/AN2664/AN2661/AN2623/AN8323/AN8426/AN8445/AN8473/AN12256/AN8545/AN5214/AN10649/AN5797/AN5691/AN5690/AN5655/AN5646/AN5644/AN5635/AN5631/AN12437/AN5593/AN10673/AN5414/AN5402/AN5356/AN5324/AN5309
FALSE	TRUE	2	GO:0031640	killing of cells of other organism	1	1/1077	AN3583
