sampleId	control	polII	h3
An_mcmA_kdmA_del_48h_MYC_1	An_untagged_48h_MYC_1	An_untagged_48h_polII_1	An_H3_48h_HIST_1
An_mcmA_kdmA_del_48h_MYC_2	An_untagged_48h_MYC_2	An_untagged_48h_polII_2	An_H3_48h_HIST_1
An_rstB_kdmA_del_20h_HA_1	An_untagged_20h_HA_1	An_untagged_20h_polII_1	An_H3_20h_HIST_1
An_rstB_kdmA_del_20h_HA_2	An_untagged_20h_HA_2	An_untagged_20h_polII_2	An_H3_20h_HIST_1
An_rstB_kdmA_del_48h_HA_1	An_untagged_48h_HA_1	An_untagged_48h_polII_1	An_H3_48h_HIST_1
An_rstB_kdmA_del_48h_HA_2	An_untagged_48h_HA_2	An_untagged_48h_polII_2	An_H3_48h_HIST_1
An_ecoA_kdmB_del_20h_HA_1	An_untagged_20h_HA_1	An_untagged_20h_polII_1	An_H3_20h_HIST_1
An_ecoA_kdmB_del_20h_HA_2	An_untagged_20h_HA_2	An_untagged_20h_polII_2	An_H3_20h_HIST_1
An_ecoA_kdmB_del_48h_HA_1	An_untagged_48h_HA_1	An_untagged_48h_polII_1	An_H3_48h_HIST_1
An_ecoA_kdmB_del_48h_HA_2	An_untagged_48h_HA_2	An_untagged_48h_polII_2	An_H3_48h_HIST_1
An_ecoA_sntB_del_20h_HA_1	An_untagged_20h_HA_1	An_untagged_20h_polII_1	An_H3_20h_HIST_1
An_ecoA_sntB_del_20h_HA_2	An_untagged_20h_HA_2	An_untagged_20h_polII_2	An_H3_20h_HIST_1
An_ecoA_sntB_del_48h_HA_1	An_untagged_48h_HA_1	An_untagged_48h_polII_1	An_H3_48h_HIST_1
An_ecoA_sntB_del_48h_HA_2	An_untagged_48h_HA_2	An_untagged_48h_polII_2	An_H3_48h_HIST_1
An_kdmB_laeA_del_20h_HA_1	An_untagged_20h_HA_1	An_untagged_20h_polII_1	An_H3_20h_HIST_1
An_kdmB_laeA_del_20h_HA_2	An_untagged_20h_HA_2	An_untagged_20h_polII_2	An_H3_20h_HIST_1
An_kdmB_laeA_del_48h_HA_1	An_untagged_48h_HA_1	An_untagged_48h_polII_1	An_H3_48h_HIST_1
An_kdmB_laeA_del_48h_HA_2	An_untagged_48h_HA_2	An_untagged_48h_polII_2	An_H3_48h_HIST_1
An_kdmB_sntB_del_20h_HA_1	An_untagged_20h_HA_1	An_untagged_20h_polII_1	An_H3_20h_HIST_1
An_kdmB_sntB_del_20h_HA_2	An_untagged_20h_HA_2	An_untagged_20h_polII_2	An_H3_20h_HIST_1
An_kdmB_sntB_del_48h_HA_1	An_untagged_48h_HA_1	An_untagged_48h_polII_1	An_H3_48h_HIST_1
An_kdmB_sntB_del_48h_HA_2	An_untagged_48h_HA_2	An_untagged_48h_polII_2	An_H3_48h_HIST_1
An_laeA_kdmB_del_20h_HA_1	An_untagged_20h_HA_1	An_untagged_20h_polII_1	An_H3_20h_HIST_1
An_laeA_kdmB_del_48h_HA_1	An_untagged_48h_HA_1	An_untagged_48h_polII_1	An_H3_48h_HIST_1
An_rpdA_kdmB_del_20h_HA_1	An_untagged_20h_HA_1	An_untagged_20h_polII_1	An_H3_20h_HIST_1
An_rpdA_kdmB_del_20h_HA_2	An_untagged_20h_HA_2	An_untagged_20h_polII_2	An_H3_20h_HIST_1
An_rpdA_kdmB_del_48h_HA_1	An_untagged_48h_HA_1	An_untagged_48h_polII_1	An_H3_48h_HIST_1
An_rpdA_kdmB_del_48h_HA_2	An_untagged_48h_HA_2	An_untagged_48h_polII_2	An_H3_48h_HIST_1
An_rpdA_sntB_del_20h_HA_1	An_untagged_20h_HA_1	An_untagged_20h_polII_1	An_H3_20h_HIST_1
An_rpdA_sntB_del_20h_HA_2	An_untagged_20h_HA_2	An_untagged_20h_polII_2	An_H3_20h_HIST_1
An_rpdA_sntB_del_48h_HA_1	An_untagged_48h_HA_1	An_untagged_48h_polII_1	An_H3_48h_HIST_1
An_rpdA_sntB_del_48h_HA_2	An_untagged_48h_HA_2	An_untagged_48h_polII_2	An_H3_48h_HIST_1
An_sntB_kdmB_del_20h_HA_1	An_untagged_20h_HA_1	An_untagged_20h_polII_1	An_H3_20h_HIST_1
An_sntB_kdmB_del_20h_HA_2	An_untagged_20h_HA_2	An_untagged_20h_polII_2	An_H3_20h_HIST_1
An_sntB_kdmB_del_48h_HA_1	An_untagged_48h_HA_1	An_untagged_48h_polII_1	An_H3_48h_HIST_1
An_sntB_kdmB_del_48h_HA_2	An_untagged_48h_HA_2	An_untagged_48h_polII_2	An_H3_48h_HIST_1
An_sudA_ecoA_teton_20h_HA_1	An_untagged_20h_HA_1	An_untagged_dox_20h_polII_1	An_H3_20h_HIST_1
An_sudA_ecoA_teton_20h_HA_2	An_untagged_20h_HA_2	An_untagged_dox_20h_polII_2	An_H3_20h_HIST_1
An_sudA_ecoA_teton_48h_HA_1	An_untagged_48h_HA_1	An_untagged_dox_48h_polII_1	An_H3_48h_HIST_1
An_sudA_ecoA_teton_48h_HA_2	An_untagged_48h_HA_2	An_untagged_dox_48h_polII_2	An_H3_48h_HIST_1
An_sudA_kdmB_del_20h_HA_1	An_untagged_20h_HA_1	An_untagged_20h_polII_1	An_H3_20h_HIST_1
An_sudA_kdmB_del_20h_HA_2	An_untagged_20h_HA_2	An_untagged_20h_polII_2	An_H3_20h_HIST_1
An_sudA_kdmB_del_48h_HA_1	An_untagged_48h_HA_1	An_untagged_48h_polII_1	An_H3_48h_HIST_1
An_sudA_kdmB_del_48h_HA_2	An_untagged_48h_HA_2	An_untagged_48h_polII_2	An_H3_48h_HIST_1
