TRACK_ID        	TF	complex	IP_tag	TimePoint	Rep	Sonicator
An_laeA_hepA_GFP_48h_HA_1_normalized.bw	laeA_hepA_GFP	independent	HA	48h	1	2
An_laeA_hepA_GFP_48h_HA_2_normalized.bw	laeA_hepA_GFP	independent	HA	48h	2	2
An_laeA_kdmB_del_20h_HA_2_normalized.bw	laeA_kdmB_del	independent	HA	20h	2	2
An_laeA_kdmB_del_48h_HA_2_normalized.bw	laeA_kdmB_del	independent	HA	48h	2	2
An_hepA_20h_HA_1_normalized.bw	hepA	hepA	HA	20h	1	1
An_hepA_20h_HA_2_normalized.bw	hepA	hepA	HA	20h	2	2
An_hepA_48h_HA_1_normalized.bw	hepA	hepA	HA	48h	1	1
An_hepA_48h_HA_2_normalized.bw	hepA	hepA	HA	48h	2	2
veA1_Rpb1_15h_mix22_1_normalized.bw	Rpb1	otherData	HA	15h	1	1
veA1_Rpb3_15h_mix22_1_normalized.bw	Rpb3	otherData	HA	15h	1	1
veA1_TFIIB_15h_mix22_1_normalized.bw	TFIIB	otherData	HA	15h	1	1
veA1_TBP_15h_mix22_1_normalized.bw	TBP	otherData	HA	15h	1	1
veA_wt_Rpb1_15h_mix22_1_normalized.bw	Rpb1	otherData	HA	15h	1	1
veA_wt_Rpb1_15h_mix22_2_normalized.bw	Rpb1	otherData	HA	15h	2	1
veA_wt_Rpb3_15h_mix22_1_normalized.bw	Rpb3	otherData	HA	15h	1	1
veA_wt_Rpb3_15h_mix22_2_normalized.bw	Rpb3	otherData	HA	15h	2	1
veA_wt_TBP_15h_mix22_1_normalized.bw	TBP	otherData	HA	15h	1	1
veA_wt_TBP_15h_mix22_2_normalized.bw	TBP	otherData	HA	15h	2	1
veA_wt_TFIIB_15h_mix22_2_normalized.bw	TFIIB	otherData	HA	15h	2	1
veA_wt_TFIIB_15h_mix22_1_normalized.bw	TFIIB	otherData	HA	15h	1	1
