sampleId	type	nBackground	genomicMedian	genomicMean	genomicBgMedian	genomicBgMean	mtMedian	mtMean
An_hepA_20h_HA_1	TF	29887	4.60180418109894	6.4713811451862	4.39392823028564	5.9364281790552	83.7032090226396	85.0814944273794
An_hepA_20h_HA_2	TF	26073	5.04249401402474	6.50047930085662	4.61616004168987	4.93894737308676	48.1219341564179	48.8820532145561
An_hepA_48h_HA_1	TF	23549	4.55521901357174	6.5020038888388	4.09327699637413	4.46666129204533	66.9527049942017	67.9495337945071
An_hepA_48h_HA_2	TF	28677	5.86014802086353	6.53989853440139	5.67861198484898	5.94174504654125	29.8202159414291	29.1492205032471
An_laeA_20h_HA_1	TF	25717	3.73986000835896	6.48939043208191	3.40006403851509	3.78985231258099	57.0888839607239	55.1792397823824
An_laeA_20h_HA_2	TF	27530	5.01813202339411	6.48948552065996	4.74777998375893	4.91294729825338	67.1074049720764	67.5383167447527
An_laeA_48h_HA_1	TF	24997	4.32900353646278	6.48578155769665	3.98793603157997	4.22532465801177	70.7005120716095	69.8422529960505
An_laeA_48h_HA_2	TF	27771	5.03785096746683	6.54343276625089	4.77357398843765	4.91184383021902	18.9827039637566	19.3887603234267
An_laeA_hepA_GFP_20h_HA_1	TF	25836	4.99771248264611	6.44680162455669	4.49492500036955	4.61267398460922	101.533149997711	99.9143610096769
An_laeA_hepA_GFP_20h_HA_2	TF	27844	5.28373998761177	6.47267149243441	5.11284801006317	5.26427856607995	79.576560705521	80.7109056240728
An_laeA_hepA_GFP_48h_HA_1	TF	24436	5.561165007025	6.44084953916777	4.83759499239922	4.94182290600504	105.084524833679	104.20641239655
An_laeA_hepA_GFP_48h_HA_2	TF	28591	5.9250160112381	6.5129315200519	5.7583999838829	5.79065791997607	41.013023733139	40.4917670913893
An_laeA_kdmB_del_20h_HA_2	TF	26359	4.39301251468062	6.51812450861488	3.96697500139475	4.15117572225115	25.8099750065804	27.0239952708896
An_laeA_kdmB_del_48h_HA_2	TF	27477	4.84986700680852	6.53429531878335	4.53746201324463	4.6660962656143	19.9104207237492	21.5338193367832
An_cclA_20h_HA_1	TF	28284	5.2667999881506	6.30565180193435	5.08126498219371	5.55658723440492	239.688876018524	240.720286235312
An_cclA_20h_HA_2	TF	29559	6.05454003226757	6.39477748424601	5.96979006409645	6.15243359372738	145.578182544708	147.490460354306
An_cclA_48h_HA_1	TF	25424	5.4404000171274	6.5093959466209	5.08228001451492	5.27955587147836	45.6559599194527	49.0443649804465
An_cclA_48h_HA_2	TF	29267	6.02292799341679	6.43191690949375	5.89793601226807	6.08747244608101	116.385160240173	114.960821731565
An_cclA_kdmA_del_20h_HA_1	TF	30478	5.97644195890427	6.11333776645193	5.97609848868847	6.09963505638506	428.515105209351	422.169040848715
An_cclA_kdmA_del_20h_HA_2	TF	30492	6.39731397038698	6.3929334735162	6.39685196244717	6.37344011708713	147.807890830994	148.784438597662
An_cclA_kdmA_del_48h_HA_1	TF	30212	5.64827103054524	5.92187925925423	5.63530003112555	5.87779929480718	587.716119033814	586.19489239487
An_cclA_kdmA_del_48h_HA_2	TF	30487	6.45922642993927	6.46183412255805	6.45900695037842	6.46168794435639	96.2553595848084	97.4330011883143
An_ecmB_20h_HA_1	TF	24382	4.78841843760014	6.52709788855018	4.24195196139813	4.54263565806441	25.4459952411652	27.1737608762201
An_ecmB_20h_HA_2	TF	28625	5.97259302854538	6.45317939249606	5.79535007894039	5.92268310244548	101.522354854584	101.945376773218
An_ecmB_48h_HA_1	TF	25057	5.16978001058102	6.53620261830384	4.67748004078865	4.9019115548069	18.2336399936676	19.4166492018239
An_ecmB_48h_HA_2	TF	29263	6.09386396276951	6.52601924609424	5.96231999826431	6.14113983288704	25.3016399855614	25.3408172700318
An_ecmB_kdmA_del_20h_HA_1	TF	24919	4.58955001306534	6.2373118747401	4.16147400903702	4.5026239796669	285.908308486939	278.115223163114
An_ecmB_kdmA_del_20h_HA_2	TF	28990	6.11020599663258	6.46231255473601	5.95854994034767	6.05640252741856	98.0032400588989	97.3476393935363
An_ecmB_kdmA_del_48h_HA_1	TF	25989	5.14833900260925	6.48973792315591	4.83449401760101	5.1646426001552	87.1602311629493	84.700528254224
An_ecmB_kdmA_del_48h_HA_2	TF	29363	5.98622401443124	6.3639889459825	5.87217602920532	6.03269199481161	186.647327774048	186.260985229819
An_kdmA_20h_HA_1	TF	24078	4.66026748174429	6.49878906833627	4.03136997044086	4.38348666315691	64.3836374921799	66.2253516015745
An_kdmA_20h_HA_2	TF	25775	4.77133997708559	6.48100492082267	4.32396198663116	4.60059246696108	65.1576820640564	65.8770285214973
An_kdmA_48h_HA_1	TF	25295	5.33184002280235	6.47366657176015	4.87992002892494	5.14042596876398	78.516479950428	83.5092873840745
An_kdmA_48h_HA_2	TF	28508	5.84039003074169	6.48617518442007	5.65240604543686	5.81686700119132	62.1607375926972	62.4515085553424
An_kdmA_short_20h_HA_1	TF	26724	6.48568056893349	6.52300223909697	6.08892701226473	6.0691944116809	41.5162540826798	41.2615758353875
An_kdmA_short_20h_HA_2	TF	29980	6.40309951508045	6.48160977231443	6.34338553279638	6.36705127749728	67.137145608902	67.3988578062755
An_kdmA_short_48h_HA_1	TF	27537	6.09723947155476	6.48233003789468	5.76765200257301	5.81397837650714	70.5772983580098	69.7830374317196
An_kdmA_short_48h_HA_2	TF	29597	6.26919053274393	6.50360400628314	6.1481670255065	6.25331492870816	55.2341294898987	54.65493133801
An_mcmA_20h_MYC_1	TF	25852	5.09694848620892	6.52300573041094	4.69133702588081	5.16207837951468	26.6391530170441	28.3039376734804
An_mcmA_20h_MYC_2	TF	28175	5.25711999666691	6.48266262140095	5.0433900103569	5.5776455162841	79.7086896724701	79.3239341436358
An_mcmA_48h_MYC_1	TF	24076	4.53616802871227	6.5490067935304	4.00380504459143	4.29357106123427	18.1235145773888	18.8028034651689
An_mcmA_48h_MYC_2	TF	27973	5.53834499514103	6.52056343890911	5.28130502951145	5.60265765237849	44.613269985199	44.7921196866133
An_mcmA_kdmA_del_20h_MYC_1	TF	25533	4.41000001215935	6.4520661231663	4.04135999512672	4.71751213910787	53.2725300388336	53.9413286356971
An_mcmA_kdmA_del_20h_MYC_2	TF	26425	4.84407700970769	6.52545783824926	4.39742400956154	4.77068783114807	32.3118099184036	31.8911799591301
An_mcmA_kdmA_del_48h_MYC_1	TF	24096	4.66749797558784	6.42718143566286	4.21625596499443	4.52999120951714	153.890005031586	149.216664219955
An_mcmA_kdmA_del_48h_MYC_2	TF	27968	5.54065794247389	6.51045890763622	5.27053345489502	5.60531203928402	37.3289940013886	37.8252804470256
An_rstB_20h_HA_1	TF	25476	5.08803005540371	6.44348163755054	4.67774504679441	4.99193153571915	97.4618299331665	98.5565494076707
An_rstB_20h_HA_2	TF	25922	4.87574992483854	6.26935675610373	4.55070001137257	4.83245115912035	264.89388256073	267.520187936627
An_rstB_48h_HA_1	TF	24843	4.72765002852678	6.47916109497198	4.24235002148151	4.57747749297229	73.065402048216	71.3397516056852
An_rstB_48h_HA_2	TF	27700	5.46639104497433	6.41357078419694	5.24309806001186	5.43968417604294	134.65734111023	134.751795306183
An_rstB_kdmA_del_20h_HA_1	TF	27123	4.78446501034498	5.74569853496905	4.58599501919746	4.88718809251206	761.338501281738	740.786140901242
An_rstB_kdmA_del_20h_HA_2	TF	29415	6.11150400578976	6.37287317947033	6.01041600692272	6.08584504822787	177.191711975098	174.062189998339
An_rstB_kdmA_del_48h_HA_1	TF	27224	5.45126399338245	6.24662620484515	5.26192800450325	5.51928349887099	291.226738669173	288.785793880842
An_rstB_kdmA_del_48h_HA_2	TF	30356	6.10859247899056	6.16035182539039	6.09925497943163	6.12442313071771	353.01277796936	357.04661447621
An_ecoA_20h_HA_1	TF	27234	4.78993400993943	6.39014639393701	4.50259502089024	4.98679155041504	156.49137865448	154.628877319807
An_ecoA_20h_HA_2	TF	28335	5.94281701225042	6.47115201406271	5.70907501512766	5.84902365066371	82.5498014507294	82.9356765243667
An_ecoA_48h_HA_1	TF	26157	5.10762996959686	6.46141028571303	4.84566999125481	5.04448691601371	102.108939922333	99.8302085189597
An_ecoA_48h_HA_2	TF	29896	6.28378408452869	6.45921009967958	6.23039205551148	6.2683817714765	94.6853160705566	93.522701874279
An_ecoA_kdmB_del_20h_HA_1	TF	30471	6.52381799757481	6.47593219953458	6.51917705774307	6.46487254395957	80.3403510093689	80.4172449785457
An_ecoA_kdmB_del_20h_HA_2	TF	30437	6.50405397331715	6.47528962427498	6.49388400417566	6.44267505481651	84.1779938640595	83.5863352171143
An_ecoA_kdmB_del_48h_HA_1	TF	27769	6.267427516222	6.3844825496231	6.01427356487513	6.00292589145909	162.868989486694	165.058731290572
An_ecoA_kdmB_del_48h_HA_2	TF	30436	6.46744505572319	6.45458618217832	6.46420502865315	6.44170611481008	107.467762363434	104.049822311056
An_ecoA_sntB_del_20h_HA_1	TF	22462	6.41878795051575	6.49458253860052	5.56470796680451	5.5476106355964	61.4695821704865	61.5339104221425
An_ecoA_sntB_del_20h_HA_2	TF	30062	6.3801399897337	6.44472083709405	6.3366799877882	6.36216500373913	109.592604887009	109.154813749964
An_ecoA_sntB_del_48h_HA_1	TF	25244	6.1529459939003	6.4254758154898	5.67788004767895	5.55578057586933	107.861282886505	109.473250572908
An_ecoA_sntB_del_48h_HA_2	TF	30448	6.51807801175118	6.49844865847095	6.51149502253532	6.48210077710566	50.0982189254761	50.7883016645229
An_kdmB_20h_HA_1	TF	25594	3.16744002187252	6.4631212152819	2.75849501615763	3.31218670614419	94.1628400764465	92.7610874415101
An_kdmB_20h_HA_2	TF	28338	5.6530250043273	6.32243316320616	5.47120000052452	5.58648982699507	212.893975036621	213.848001431098
An_kdmB_48h_HA_1	TF	25128	4.28306498992443	6.43012406746617	3.9605999725014	4.18621767412766	135.306867458344	133.360762436468
An_kdmB_48h_HA_2	TF	29366	6.09637799018621	6.45466624809725	5.97983099675179	6.08443521905635	92.0498700561524	92.243389936894
An_kdmB_laeA_del_20h_HA_1	TF	30480	6.45976399493218	6.45495253372316	6.45711299473047	6.42147488610047	93.2790500221252	93.2190340540916
An_kdmB_laeA_del_20h_HA_2	TF	30522	6.49942799603939	6.45122548520792	6.49942799603939	6.45122548520792	94.6937159099579	93.6439217734108
An_kdmB_laeA_del_48h_HA_1	TF	26117	5.28643497407436	6.48327482731296	4.97766495394707	5.01497733336262	64.1388824691773	64.3999870287571
An_kdmB_laeA_del_48h_HA_2	TF	28495	5.81871750515699	6.51537661552373	5.61280500864983	5.6964483975211	41.3969549694061	40.9504759105345
An_kdmB_sntB_del_20h_HA_1	TF	26459	5.81308201813698	6.51251229107971	5.42213095927238	5.39005331570666	46.5179054450989	46.8178743615087
An_kdmB_sntB_del_20h_HA_2	TF	28169	5.78336096319556	6.47718184385328	5.55671695077419	5.63569846600281	77.2348515167236	77.9790509148917
An_kdmB_sntB_del_48h_HA_1	TF	25366	5.86917456305027	6.46208805234825	5.34777602814138	5.30513927603699	86.5391100177765	87.0550552422137
An_kdmB_sntB_del_48h_HA_2	TF	29370	6.18891599518061	6.45971110809254	6.07791600656509	6.13658107193821	83.8811461181641	83.7424264478881
An_laeA_kdmB_del_20h_HA_1	TF	28439	5.89918644475937	6.5015349073087	5.73821994328499	5.73252462148926	56.4101151733399	56.6403022750282
An_laeA_kdmB_del_48h_HA_1	TF	29442	6.40844042485952	6.52886102179341	6.33271088081598	6.25105263429706	32.3257165822983	32.1292688811341
An_rpdA_20h_HA_1	TF	23534	3.6411119940877	6.54065011739458	3.13696800732613	3.48522406129655	31.9984560494423	30.7964779511933
An_rpdA_20h_HA_2	TF	29630	6.07015595448017	6.36163827119394	5.98738602101803	6.13554268904814	187.585299888611	189.54178326164
An_rpdA_48h_HA_1	TF	23529	4.1060175331831	6.53529687046585	3.5963949906826	3.83367695074297	24.1163624916077	24.3991633300703
An_rpdA_48h_HA_2	TF	27858	5.52581095586717	6.4762532457991	5.24977795928717	5.46475681151492	82.0090710067749	81.6013120890274
An_rpdA_kdmB_del_20h_HA_1	TF	27943	6.14298298501968	6.47354625709167	5.92095898771286	5.93799504446441	73.6607688598633	74.9280471073926
An_rpdA_kdmB_del_20h_HA_2	TF	29015	6.1802999868989	6.49543849681854	6.03784996819496	6.07934425968464	56.3295249862671	57.7697386962802
An_rpdA_kdmB_del_48h_HA_1	TF	26143	5.98402799367905	6.47257131260795	5.57112600803375	5.55669021788784	74.35066655159	77.1196333217198
An_rpdA_kdmB_del_48h_HA_2	TF	28879	6.1333969822228	6.48048178717822	5.96750595277548	6.01699541150675	75.3620420150757	74.5522069584294
An_rpdA_sntB_del_20h_HA_1	TF	25417	6.06084999299049	6.48017036354026	5.48937998390198	5.48334467027903	77.9140647830963	77.8208609508901
An_rpdA_sntB_del_20h_HA_2	TF	27621	5.63814994382858	6.14236683688531	5.32574393892288	5.42533195027948	392.575604202271	385.775338551907
An_rpdA_sntB_del_48h_HA_1	TF	24779	5.80308299678564	6.48527354801443	5.24780099999905	5.18076438596808	66.5827694396973	66.5337323866017
An_rpdA_sntB_del_48h_HA_2	TF	29328	6.23193754225969	6.50210536267498	6.08006254827976	6.20059331934367	50.9619600143433	52.824846901128
An_sntB_20h_HA_1	TF	25872	4.62509251141548	6.48489690308663	4.35175501286984	4.66321223537047	81.6392049770355	78.9216294814224
An_sntB_20h_HA_2	TF	27888	5.5366080275774	6.47721185585702	5.29883198046684	5.44968660411177	83.8537279911041	84.6314244144293
An_sntB_48h_HA_1	TF	25266	5.06488600242138	6.50124647395636	4.70972698938847	4.92335550763328	43.3153859405518	42.4494883268145
An_sntB_48h_HA_2	TF	30478	6.39228299236298	6.41993786141953	6.39125551688671	6.41764492788127	131.965513238394	130.180792109179
An_sntB_kdmB_del_20h_HA_1	TF	27878	6.0901069239378	6.44163325564793	5.83815492582321	5.86869012518123	103.585032875061	104.376746096263
An_sntB_kdmB_del_20h_HA_2	TF	29805	6.30674558115006	6.44375998445682	6.23082906752825	6.26655299264407	103.063862070084	102.183655990998
An_sntB_kdmB_del_48h_HA_1	TF	27927	6.04101956367493	6.36389796816751	5.85861806249619	5.85062099539034	179.072866905212	178.019051184543
An_sntB_kdmB_del_48h_HA_2	TF	29561	6.24100753366947	6.49933811678375	6.15751506543159	6.21293820796876	59.4386974544525	59.9524646188985
An_sudA_20h_HA_1	TF	25762	6.21084804725647	6.42862316820531	5.65535603028536	5.72748297222488	123.272338214874	123.615863257361
An_sudA_20h_HA_2	TF	30521	6.57631814670563	6.46749425637907	6.57631814670563	6.46720864651692	92.4526889457703	92.9463866340443
An_sudA_48h_HA_1	TF	24600	6.50727000832558	6.4778987647198	5.92514999473095	5.82461033812802	65.3734949951172	66.6976503667982
An_sudA_48h_HA_2	TF	30391	6.25768052554131	6.52993794827782	6.23651403331757	6.47661876974673	26.7297959985733	26.3307596531242
An_sudA_ecoA_teton_20h_HA_1	TF	29766	6.06871196514368	6.32168870260041	5.98221597152948	6.14715598294655	219.609528404236	220.58635384516
An_sudA_ecoA_teton_20h_HA_2	TF	30406	6.45489050394297	6.4788124058374	6.44282600462437	6.43901879511012	73.6905404891968	73.5231031530511
An_sudA_ecoA_teton_48h_HA_1	TF	24824	6.67809596771002	6.51451841870809	6.19785800147057	6.03342234238754	51.5203850212097	51.8681473070391
An_sudA_ecoA_teton_48h_HA_2	TF	30515	6.32400003904104	6.50986447365348	6.32318404221535	6.50831459098609	37.1293601694107	37.0148342209465
An_sudA_kdmB_del_20h_HA_1	TF	29605	6.39066160440445	6.48866535202135	6.29983010292053	6.31938198867261	61.6089749622345	61.1491127422347
An_sudA_kdmB_del_20h_HA_2	TF	30361	6.36120309180021	6.41296259980641	6.34686603021622	6.38514022594742	137.073224708557	138.709608152548
An_sudA_kdmB_del_48h_HA_1	TF	29833	6.40729647618532	6.48547743963732	6.34122997784615	6.34625923021159	69.3285695171356	68.5670703983319
An_sudA_kdmB_del_48h_HA_2	TF	30324	6.39700500953198	6.49213069578722	6.37050003409386	6.44639373786653	65.9272350053787	67.8349509019881
An_untagged_20h_HA_1	TF	30522	6.11457700014114	6.32936513469326	6.11457700014114	6.32936513469326	206.109071159363	209.864618730572
An_untagged_20h_HA_2	TF	30522	6.56175199472904	6.47542160548047	6.56175199472904	6.47542160548047	80.7820499019623	80.8085527365576
An_untagged_48h_HA_1	TF	30522	6.4522080206871	6.46824394971886	6.4522080206871	6.46824394971886	76.7202030067444	80.2807150038833
